,20%,40%,60%,80%,100%
RPM[0],163.24028,20.781232,45.546093,69.42585,126.74398
RPM[1],40.5289,36.906185,111.857941,235.407257,38.57468
RPM[2],72.675148,55.860237,236.520813,38.162495,43.653309
RPM[3],121.448868,130.994232,36.253265,41.428871,46.249653
RPM[4],37.338886,191.5728,38.379265,42.826981,55.35928
RPM[5],40.446934,233.429031,38.932102,50.541294,57.267784
RPM[6],40.913593,34.27039,45.434349,51.541592,57.241558
RPM[7],57.307163,34.880013,46.040974,51.266788,65.850777
RPM[8],58.28923,34.580883,45.55439,58.893406,66.658447
RPM[9],55.304173,39.704994,52.165363,59.018532,65.070923
RPM[10],80.193268,39.720764,52.132729,57.544594,74.162704
RPM[11],78.617134,38.730053,50.710445,65.206703,73.42218
RPM[12],70.692062,43.710548,57.123844,64.717186,71.134583
RPM[13],107.136276,43.395679,56.7285,62.57885,80.3479
RPM[14],100.726227,41.964329,54.723106,70.255028,79.214981
RPM[15],87.99807,47.121387,61.418129,69.348824,76.231895
RPM[16],140.727554,46.525078,60.63607,66.863464,85.427132
RPM[17],128.239288,44.759193,58.160404,74.583092,83.85125
RPM[18],106.113113,49.97052,64.986351,73.153618,80.412506
RPM[19],182.616867,49.097111,63.751751,70.225418,89.703087
RPM[20],160.566788,47.068153,61.080502,78.34613,87.95163
RPM[21],125.471779,52.604416,68.11129,76.62912,83.76696
RPM[22],242.250473,51.472614,66.640678,73.132217,93.598839
RPM[23],201.047455,49.247021,63.573425,81.30162,91.025848
RPM[24],149.523026,54.729092,70.602226,79.378471,86.957382
RPM[25],315.8591,53.362331,68.994751,75.735382,96.731483
RPM[26],251.006531,51.02092,65.695045,84.175926,94.269424
RPM[27],176.867706,56.689907,72.940186,82.413872,89.719177
RPM[28],458.299713,55.194283,71.246078,78.395271,99.463898
RPM[29],323.418488,52.621025,67.687157,86.806427,96.918976
RPM[30],205.340866,58.221352,74.783875,84.67485,91.980316
RPM[31],577.372986,56.715633,72.75975,80.477226,101.834007
RPM[32],379.078827,54.083828,69.195267,89.302559,99.424339
RPM[33],228.000458,59.859333,76.66436,86.806427,94.127441
RPM[34],850.348633,58.323223,74.361244,82.454643,104.385178
RPM[35],454.549988,55.304173,70.622177,91.042427,101.297615
RPM[36],251.764847,61.035767,78.028252,88.653366,96.007103
RPM[37],1315.802612,59.347775,75.988594,84.147598,106.20327
RPM[38],598.092102,56.459457,71.912125,92.97229,103.221519
RPM[39],296.738892,62.298161,79.41629,90.172226,97.714478
RPM[40],5376.397949,60.643417,77.292465,85.383362,108.249626
RPM[41],922.518433,57.313732,73.185745,94.056618,104.844833
RPM[42],352.116211,63.147892,80.972466,91.592781,99.28614
RPM[43],33.525883,61.372894,78.34613,86.776291,109.746483
RPM[44],1366.133789,58.052364,73.998077,96.007103,106.542717
RPM[45],423.016083,64.201973,81.847275,92.765305,100.78714
RPM[46],34.030151,62.251617,79.328102,87.920692,111.235817
RPM[47],3268.006592,58.886467,75.064552,97.050659,107.782928
RPM[48],482.63031,65.10482,82.947075,94.003563,101.917038
RPM[49],34.414276,62.933296,80.490181,88.984695,112.411201
RPM[50],33.355904,59.730614,76.394958,98.194221,108.933556
RPM[51],594.536255,65.94632,84.076843,95.275345,102.839363
RPM[52],34.724979,63.865757,81.526985,89.977501,113.508507
RPM[53],33.665836,60.256084,76.75853,99.543098,110.060539
RPM[54],689.662048,66.676224,84.646179,96.043983,103.907936
RPM[55],35.004551,64.259735,81.67347,90.959618,114.44381
RPM[56],33.873383,61.095428,77.364227,100.161255,110.743073
RPM[57],836.128723,67.159836,84.991501,97.296165,104.713081
RPM[58],35.388561,65.12178,82.386719,91.760864,115.554665
RPM[59],34.244576,61.55423,77.797569,101.174622,111.782928
RPM[60],1068.386841,67.568245,85.602638,97.829193,105.664627
RPM[61],35.633198,65.591629,83.153999,92.57637,116.551277
RPM[62],34.514046,61.935463,78.432159,101.958611,112.893425
RPM[63],1519.771973,68.334702,86.521019,98.991287,106.361404
RPM[64],35.930225,66.085785,83.738907,93.267113,117.509987
RPM[65],34.715336,62.524071,79.127235,102.754829,113.844498
RPM[66],2083.354248,68.559578,87.154434,99.483688,107.182205
RPM[67],36.046787,66.419365,84.51741,93.968239,118.372398
RPM[68],34.894619,62.728016,79.656685,103.435043,114.574928
RPM[69],3496.53833,69.176125,88.122139,100.30191,107.829414
RPM[70],36.337574,66.917152,85.179733,94.483177,119.048813
RPM[71],35.075764,63.092117,80.039223,104.211136,115.554665
RPM[72],5814.011719,69.464432,88.559158,100.645126,108.555145
RPM[73],36.464775,67.277321,85.558693,94.949677,119.962822
RPM[74],35.25631,63.331856,80.776245,104.800873,115.929749
RPM[75],33.342556,70.028709,88.921394,101.359207,109.266823
RPM[76],36.71109,67.495277,85.793579,95.566704,120.541229
RPM[77],35.491554,63.800564,80.789307,105.21991,116.469833
RPM[78],33.548374,70.156448,88.700546,101.834007,109.891212
RPM[79],36.746159,67.834076,85.852501,95.896622,121.066589
RPM[80],35.595146,63.99654,80.802361,105.575378,117.316978
RPM[81],33.618301,70.492737,88.953041,102.376122,110.522766
RPM[82],37.070358,68.139137,85.749443,96.488808,121.774231
RPM[83],35.755505,64.325867,80.763206,106.15818,117.703629
RPM[84],33.749916,70.532516,89.032227,102.670433,111.038193
RPM[85],37.103371,68.372078,85.955818,96.843887,122.101349
RPM[86],35.868366,64.508453,81.288406,106.52002,118.456535
RPM[87],33.944672,70.852341,89.430336,103.157623,111.708
RPM[88],37.252644,68.568977,86.595947,97.409897,122.881546
RPM[89],36.049389,64.583443,81.793724,107.067451,118.737831
RPM[90],34.016258,71.134583,89.832016,103.435043,112.133888
RPM[91],37.375164,68.738655,87.215248,97.619095,123.580078
RPM[92],36.18243,64.826271,82.291809,107.41246,119.190704
RPM[93],34.137028,71.246078,90.597031,104.037651,112.512383
RPM[94],37.568939,68.994751,87.444031,97.944168,123.916977
RPM[95],36.319096,64.918854,82.373146,107.969124,119.9916
RPM[96],34.263344,71.337563,90.433167,104.124329,112.817017
RPM[97],37.557652,69.071007,87.489937,98.174942,124.317505
RPM[98],36.348137,65.087868,82.25119,108.319969,120.280251
RPM[99],34.341,71.788223,90.547813,104.625443,113.689178
RPM[100],37.770432,69.271957,87.474632,98.561996,124.689529
RPM[101],36.51804,65.36013,82.468254,108.555145,120.83252
RPM[102],34.390602,71.736732,90.843933,104.888817,113.792671
RPM[103],37.773289,69.252769,87.967102,98.95211,125.283134
RPM[104],36.486061,65.317444,82.905815,108.886101,120.949455
RPM[105],34.475971,71.901779,91.492226,105.308548,114.339127
RPM[106],37.925137,69.628883,88.355713,99.109016,125.534775
RPM[107],36.649197,65.557236,83.181664,109.076134,121.685333
RPM[108],34.50452,72.026077,91.35849,105.575378,114.548683
RPM[109],37.968334,69.580437,87.982574,99.424339,125.882423
RPM[110],36.686844,65.643295,82.933327,109.219093,121.714951
RPM[111],34.59045,72.098778,91.35849,105.88839,114.970108
RPM[112],38.124664,69.794113,88.277718,99.721786,126.48748
RPM[113],36.843639,65.720955,83.153999,109.578125,122.310425
RPM[114],34.669601,72.067596,91.609566,106.000641,114.838081
RPM[115],38.002964,69.735703,88.684814,99.841255,126.776115
RPM[116],36.800251,65.781471,83.52906,110.08477,122.340347
RPM[117],34.751526,72.234184,91.997238,106.20327,115.501274
RPM[118],38.142117,69.901443,88.527802,100.041023,126.776115
RPM[119],36.862652,65.850777,83.445427,110.254684,123.123619
