Type,Volcano Name,Country,Latitude (dd),Longitude (dd),Elevation (m)
Caldera,Kuwae,Vanuatu,-16.83,168.54,-2
Caldera,East Epi,Vanuatu,-16.7,168.4,-34
Caldera,Uzon,Russia,54.5,159.97,1617
Caldera,Maly Semiachik,Russia,54.13,159.67,1560
Caldera,Akademia Nauk,Russia,53.98,159.45,1180
Caldera,Gorely,Russia,52.56,158.03,1829
Caldera,Opala,Russia,52.54,157.34,1776
Caldera,Nemo Peak,Russia,49.57,154.81,1018
Caldera,Ushishur,Russia,47.52,152.8,401
Caldera,Zavaritzki Caldera,Russia,46.93,151.95,624
Caldera,Lolobau,Papua New Guinea,-4.92,151.16,858
Caldera,Pago,Papua New Guinea,-5.58,150.52,742
Caldera,Dakataua,Papua New Guinea,-5,150.1,400
Caldera,Mashu,Japan,43.57,144.57,855
Caldera,Kutcharo,Japan,43.61,144.44,999
Caldera,Akan,Japan,43.38,144.01,1499
Caldera,Shikotsu,Japan,42.69,141.38,1320
Caldera,Ioto (Iwo-jima),Japan,24.75,141.29,161
Caldera,Towada,Japan,40.47,140.92,1159
Caldera,Aso,Japan,32.88,131.11,1592
Caldera,Kikai,Japan,30.79,130.31,704
Caldera,Todoko-Ranu,Indonesia,1.25,127.47,979
Caldera,Taal,Philippines,14,120.99,311
Caldera,Toba,Indonesia,2.58,98.83,2157
Caldera,Kone,Ethiopia,8.8,39.69,1619
Caldera,Acigöl-Nevsehir,Turkey,38.57,34.52,1689
Caldera,Wau-en-Namus,Libya,25.05,17.55,547
Caldera,Alban Hills,Italy,41.73,12.7,949
Caldera,Krafla,Iceland,65.73,-16.78,818
Caldera,Grímsvötn,Iceland,64.42,-17.33,1725
Caldera,Sollipulli,Chile,-38.97,-71.52,2282
Caldera,Masaya,Nicaragua,11.98,-86.16,635
Caldera,Ilopango,El Salvador,13.67,-89.05,450
Caldera,Coatepeque,El Salvador,13.86,-89.54,746
Caldera,Fernandina,Ecuador,-0.37,-91.55,1476
Caldera,El Chichon,Mexico,17.36,-93.23,1060
Caldera,Yellowstone,United States,44.43,-110.67,2805
Caldera,Crater Lake,USA,42.94,-122.11,2471
Caldera,Aniakchak,USA,56.88,-158.17,1341
Caldera,Atka,USA,52.38,-174.15,1533
Cinder Cone,Vernadskii Ridge,Russia,50.55,155.97,1183
Cinder Cone,Bagana,Papua New Guinea,-6.1,155.2,1750
Cinder Cone,Cerro Negro,Nicaragua,12.51,-86.7,728
Cinder Cone,Michoacan-Guanajuato,Mexico,19.85,-101.75,3860
Cinder Cone,Paricutin,Mexico,19.5,-102.2,3170
Cinder Cone,Capulin,USA,36.45,-104.09,2494
Cinder Cone,Sunset Craters,United States,35.37,-111.5,2447
Cinder Cone,SP Mountain,United States,35.6,-111.6,2141
Cinder Cone,Pinacate,Mexico,31.77,-113.5,1200
Complex Volcano,Umboi,Papua New Guinea,-5.59,147.88,1548
Complex Volcano,Long Island,Papua New Guinea,-5.36,147.12,1280
Complex Volcano,Asama,Japan,36.4,138.53,2568
Complex Volcano,Unzen,Japan,32.76,130.29,1500
Complex Volcano,Dukono,Indonesia,1.7,127.87,1185
Complex Volcano,Biliran,Philippines,11.5,124.5,1187
Complex Volcano,Lereboleng,Indonesia,-8.36,122.84,1117
Complex Volcano,Dieng Volcanic Complex,Indonesia,-7.2,109.9,2565
Complex Volcano,Peuet Sague,Indonesia,4.91,96.33,2801
Complex Volcano,McDonald Islands,Australia,-53.03,72.6,230
Complex Volcano,Barrier,Kenya,2.32,36.57,1032
Complex Volcano,Azufre,Chile,-21.79,-68.24,5846
Complex Volcano,Arintica,Chile,-18.73,-69.05,5597
Complex Volcano,Rincon de la Vieja,Costa Rica,10.83,-85.32,1916
Complex Volcano,Pacaya,Guatemala,14.38,-90.6,2552
Complex Volcano,Atitlán,Guatemala,14.58,-91.19,3535
Dome,Okataina,New Zealand,-38.12,176.5,1111
Dome,Diky Greben,Russia,51.46,156.98,1331
Dome,Pauzhetka,Russia,51.45,156.97,1070
Dome,Tsurumi,Japan,33.28,131.43,1584
Dome,Yali,Greece,36.67,27.14,180
Dome,Methana,Greece,37.62,23.34,760
Dome,Chaine des Puys,France,45.78,2.97,1464
Dome,Augustine,USA,59.36,-153.43,1252
Fissure vents,Gran Canaria,Canary Islands (Spain),28,15.58,1950
Fissure vents,Lanzarote,Spain,29.03,-13.63,670
Fissure vents,Fuerteventura,Spain,28.36,-14.02,529
Fissure vents,Katla,Iceland,63.63,-19.05,1512
Maar,Butajira,Ethiopia,8.05,38.35,2281
Maar,Ubehebe Craters,United States,37.02,-117.45,752
Maar,Fort Rock,USA,43.37,-121.07,1716
Plug,Devils Tower,USA,44.6,-104.7,1558
Pyroclastic Cone,Izu-Tobu,Japan,34.9,139.1,581
Pyroclastic Cone,Barren Island,India,12.29,93.88,305
Pyroclastic Cone,Mega Basalt Field,Ethiopia,37.42,4.08,1067
Shield,Ambrym,Vanuatu,-16.25,168.12,1334
Shield,Aoba,Vanuatu,-15.4,167.83,1496
Shield,Akhtang,Russia,55.43,158.65,1956
Shield,Rabaul,Papua New Guinea,-4.27,152.2,688
Shield,Undara,Australia,-18.25,144.75,1020
Shield,Newer Volcanics Province,Australia,-37.77,142.5,1011
Shield,Nikko-Shirane,Japan,36.8,139.38,2578
Shield,Abu,Japan,34.5,131.6,641
Shield,Piton de la Fournaise,France,-21.23,55.71,2631
Shield,Karthala,Comoros,-11.75,43.38,2361
Shield,Erta Ale,Ethiopia,13.6,40.7,613
Shield,Alayta,Ethiopia,12.88,40.57,1501
Shield,Marsabit,Kenya,2.32,37.97,1707
Shield,Nyambeni Hills,Kenya,0.23,37.87,750
Shield,Suswa,Kenya,-1.18,36.35,2356
Shield,Menengai,Kenya,-0.2,36.07,2278
Shield,Nyamuragira,Democratic Republic of Congo,-1.41,29.2,3058
Shield,Santorini,Greece,36.4,25.4,367
Shield,Tristan da Cunha,United Kingdom,-37.09,-12.28,2060
Shield,Hierro,Spain,27.73,-18.03,1500
Shield,Cosigüina,Nicaragua,12.98,-87.56,847
Shield,Alcedo,Galápagos Islands,-0.43,-91.12,1130
Shield,Newberry,United States,43.72,-121.23,2434
Shield,Washington,United States,44.3,-121.8,2376
Shield,Belknap,USA,44.28,-121.83,2096
Shield,Wrangell,United States,62,-144.02,4317
Shield,Sanford,United States,62.22,-144.13,4949
Shield,Kilauea,United States,19.42,-155.29,1222
Shield,Mauna Kea,United States,19.82,-155.47,4205
Shield,Mauna Loa,United States,19.48,-155.61,4170
Shield,Hualalai,USA,19.69,-155.87,2523
Shield,Kahoolawe,United States,20.55,-156.57,450
Shield,Okmok,United States,53.43,-168.13,1073
Somma Volcano,Ebeko,Russia,50.68,156.02,1156
Somma Volcano,Urataman,Russia,47.12,152.25,678
Somma Volcano,Vesuvius,Italy,40.82,14.43,1281
Stratovolcano,Semisopochnoi,United States,51.93,179.58,1221
Stratovolcano,Gareloi,USA,51.8,178.8,1573
Stratovolcano,Little Sitkin,United States,51.95,178.54,1174
Stratovolcano,Segula,United States,52.02,178.14,1160
Stratovolcano,White Island,New Zealand,-37.52,177.18,321
Stratovolcano,Ngauruhoe,New Zealand,-39.13,175.64,1978
Stratovolcano,Ruapehu,New Zealand,-39.28,175.57,2797
Stratovolcano,Egmont (Taranaki),New Zealand,-39.3,174.1,2518
Stratovolcano,Aneityum,Vanuatu,-20.2,169.78,852
Stratovolcano,Yasur,Vanuatu,-19.53,169.44,361
Stratovolcano,Traitor's Head,Vanuatu,-18.75,169.23,1881
Stratovolcano,Lopevi,Vanuatu,-16.51,168.35,1413
Stratovolcano,Gaua,Vanuatu,-14.27,167.5,797
Stratovolcano,Erebus,Antarctica,-77.5,167.2,3794
Stratovolcano,Sheveluch,Russia,56.65,161.36,3283
Stratovolcano,Gamchen,Russia,54.97,160.68,2576
Stratovolcano,Kliuchevskoi,Russia,56.06,160.64,4835
Stratovolcano,Zimina,Russia,55.86,160.6,3081
Stratovolcano,Bezymianny,Russia,55.98,160.58,2882
Stratovolcano,Kronotsky,Russia,54.75,160.53,3528
Stratovolcano,Udina,Russia,55.76,160.53,2923
Stratovolcano,Tolbachik,Russia,55.83,160.33,3682
Stratovolcano,Krasheninnikov,Russia,54.59,160.27,1856
Stratovolcano,Kikhpinych,Russia,54.49,160.25,1552
Stratovolcano,Bolshoi Semiachik,Russia,54.32,160.02,1720
Stratovolcano,Savo,Solomon Islands,-9.13,159.82,485
Stratovolcano,Karymsky,Russia,54.05,159.45,1536
Stratovolcano,Avachinsky,Russia,53.26,158.83,2741
Stratovolcano,Koryaksky,Russia,53.32,158.69,3456
Stratovolcano,Vilyuchik,Russia,52.7,158.28,2173
Stratovolcano,Asacha,Russia,52.36,157.83,1910
Stratovolcano,Khodutka,Russia,52.06,157.7,2090
Stratovolcano,Ksudach,Russia,51.8,157.53,1079
Stratovolcano,Kell,Russia,51.65,157.35,900
Stratovolcano,Ilyinsky,Russia,51.49,157.2,1578
Stratovolcano,Kambalny,Russia,51.3,156.87,2156
Stratovolcano,Koshelev,Russia,51.36,156.75,1812
Stratovolcano,Mashkovtsev,Russia,51.1,156.72,503
Stratovolcano,Loloru,Papua New Guinea,-6.52,155.62,1887
Stratovolcano,Alaid,Russia,50.86,155.55,2339
Stratovolcano,Chikurachki,Russia,50.33,155.46,5958
Stratovolcano,Fuss Peak,Russia,50.27,155.25,1772
Stratovolcano,Mageik,United States,58.2,155.25,2165
Stratovolcano,Tao-Rusyr Caldera,Russia,49.35,154.7,1325
Stratovolcano,Sinarka,Russia,48.88,154.18,934
Stratovolcano,Raikoke,Russia,48.29,153.25,551
Stratovolcano,Sarychev Peak,Russia,48.09,153.2,1496
Stratovolcano,Rasshua,Russia,47.77,153.02,956
Stratovolcano,Prevo Peak,Russia,47.02,152.12,1360
Stratovolcano,Ulawun,Papua New Guinea,-5.05,151.33,2334
Stratovolcano,Bamus,Papua New Guinea,-5.2,151.2,2248
Stratovolcano,Lolo,Papua New Guinea,-5.47,150.51,805
Stratovolcano,Tri Sestry,Russia,45.93,149.92,998
Stratovolcano,Rudakov,Russia,45.88,149.83,542
Stratovolcano,Langila,Papua New Guinea,-5.53,148.42,1330
Stratovolcano,Lamington,Papua New Guinea,-8.95,148.15,1680
Stratovolcano,Sakar,Papua New Guinea,-5.41,148.09,992
Stratovolcano,Atsonupuri,Russia,44.81,147.14,1206
Stratovolcano,Tiatia,Russia,44.35,146.26,1819
Stratovolcano,Smirnov,Russia,44.42,146.14,1189
Stratovolcano,Guguan,USA,17.31,145.84,287
Stratovolcano,Alamagan,Mariana Islands,17.6,145.83,744
Stratovolcano,Pagan,United States,18.13,145.8,570
Stratovolcano,Agrigan,Mariana Islands,18.77,145.67,965
Stratovolcano,Anatahan,Mariana Islands,16.35,145.67,790
Stratovolcano,Shiretoko-Iwo-zan,Japan,44.13,145.17,1563
