Time,GMSL (mm),GMSL uncertainty (mm)
1880.0417,-183,24.2
1880.125,-171.1,24.2
1880.2083,-164.3,24.2
1880.2917,-158.2,24.2
1880.375,-158.7,24.2
1880.4583,-159.6,24.2
1880.5417,-159.6,24.2
1880.625,-161.8,24.2
1880.7083,-158.9,24.2
1880.7917,-150.3,24.2
1880.875,-144.5,24.2
1880.9583,-134.7,24.2
1881.0417,-136.4,24.2
1881.125,-139.2,24.2
1881.2083,-145.2,24.2
1881.2917,-151.1,24.2
1881.375,-152.2,24.2
1881.4583,-154.2,24.2
1881.5417,-147.7,24.2
1881.625,-151.4,24.2
1881.7083,-156,24.2
1881.7917,-165.5,24.2
1881.875,-167.9,24.2
1881.9583,-169.9,24.2
1882.0417,-167.8,24.2
1882.125,-162,22.9
1882.2083,-158.8,22.9
1882.2917,-160.6,22.9
1882.375,-164.5,22.9
1882.4583,-165.2,22.9
1882.5417,-167.3,22.9
1882.625,-169,22.9
1882.7083,-174.9,22.9
1882.7917,-181.5,22.9
1882.875,-182.5,22.9
1882.9583,-184.5,22.9
1883.0417,-179.9,22.8
1883.125,-180,22.8
1883.2083,-172.4,22.8
1883.2917,-172.3,22.8
1883.375,-164,22.8
1883.4583,-163.6,22.8
1883.5417,-161.1,22.8
1883.625,-162,22.8
1883.7083,-159.3,22.8
1883.7917,-158.2,22.8
1883.875,-153.2,22.8
1883.9583,-149.1,22.8
1884.0417,-142.5,22.2
1884.125,-139.5,22.2
1884.2083,-137,22.2
1884.2917,-135.2,22.2
1884.375,-136,22.2
1884.4583,-140,22.2
1884.5417,-143.3,22.2
1884.625,-146.8,22.2
1884.7083,-150.4,22.2
1884.7917,-150.4,22.2
1884.875,-154,22.2
1884.9583,-149.9,22.2
1885.0417,-153.1,22.2
1885.125,-148.3,21.9
1885.2083,-145.3,21.9
1885.2917,-142.7,21.9
1885.375,-143.1,21.9
1885.4583,-142.7,21.9
1885.5417,-148.4,21.9
1885.625,-143.2,21.9
1885.7083,-146.5,21.9
1885.7917,-141.2,21.9
1885.875,-143.3,21.9
1885.9583,-145.1,21.9
1886.0417,-147.3,20.8
1886.125,-152.2,20.8
1886.2083,-146.8,20.8
1886.2917,-142,20.8
1886.375,-134.7,20.8
1886.4583,-135.4,20.8
1886.5417,-140.8,20.8
1886.625,-147.7,20.8
1886.7083,-155.1,20.8
1886.7917,-155.2,20.8
1886.875,-157.9,20.8
1886.9583,-155.8,20.8
1887.0417,-162.2,20.7
1887.125,-165.8,20.7
1887.2083,-162.9,20.8
1887.2917,-158.8,20.8
1887.375,-151.9,20.8
1887.4583,-147.1,20.8
1887.5417,-147.3,20.8
1887.625,-147.5,20.8
1887.7083,-150.6,20.8
1887.7917,-147.5,20.8
1887.875,-148.8,20.8
1887.9583,-148,20.8
1888.0417,-155.3,20.8
1888.125,-155.6,20.8
1888.2083,-155,20.8
1888.2917,-155.2,20.8
1888.375,-154.2,20.8
1888.4583,-151.6,20.8
1888.5417,-149,20.8
1888.625,-148.5,20.8
1888.7083,-151.5,20.8
1888.7917,-145,20.8
1888.875,-146,20.8
1888.9583,-146,20.8
1889.0417,-151.1,20.8
1889.125,-147.4,20.8
1889.2083,-144.3,20.7
1889.2917,-145,20.7
1889.375,-145.9,20.7
1889.4583,-145.8,20.7
1889.5417,-147,20.7
1889.625,-147.6,20.7
1889.7083,-151.3,20.7
1889.7917,-153.8,20.7
1889.875,-157.6,20.7
1889.9583,-157.2,20.7
1890.0417,-152.3,20.7
1890.125,-151.4,20.7
1890.2083,-140,20.7
1890.2917,-138.1,20.7
1890.375,-135.3,20.7
1890.4583,-140.2,20.7
1890.5417,-144.2,20.7
1890.625,-147.8,20.7
1890.7083,-149.4,20.7
1890.7917,-151.8,20.7
1890.875,-155.9,20.7
1890.9583,-163.9,20.7
1891.0417,-162.9,20.7
1891.125,-163.9,20.7
1891.2083,-148.1,20.7
1891.2917,-150.8,20.7
1891.375,-145.4,20.7
1891.4583,-148.4,20.7
