Ambient temperature (deg C),Net Hourly Electrial Output (MW)
14.96,463.26
25.18,444.37
5.11,488.56
20.86,446.48
10.82,473.9
26.27,443.67
15.89,467.35
9.48,478.42
14.64,475.98
11.74,477.5
17.99,453.02
20.14,453.99
24.34,440.29
25.71,451.28
26.19,433.99
21.42,462.19
18.21,467.54
11.04,477.2
14.45,459.85
13.97,464.3
17.76,468.27
5.41,495.24
7.76,483.8
27.23,443.61
27.36,436.06
27.47,443.25
14.6,464.16
7.91,475.52
5.81,484.41
30.53,437.89
23.87,445.11
26.09,438.86
29.27,440.98
27.38,436.65
24.81,444.26
12.75,465.86
24.66,444.37
16.38,450.69
13.91,469.02
23.18,448.86
22.47,447.14
13.39,469.18
9.28,482.8
11.82,476.7
10.27,474.99
22.92,444.22
16,461.33
21.22,448.06
13.46,474.6
9.39,473.05
31.07,432.06
12.82,467.41
32.57,430.12
8.11,473.62
13.92,471.81
23.04,442.99
27.31,442.77
5.91,491.49
25.26,447.46
27.97,446.11
26.08,442.44
29.01,446.22
12.18,471.49
13.76,463.5
25.5,440.01
28.26,441.03
21.39,452.68
7.26,474.91
10.54,478.77
27.71,434.2
23.11,437.91
7.51,477.61
26.46,431.65
29.34,430.57
10.32,481.09
22.74,445.56
13.48,475.74
25.52,435.12
21.58,446.15
27.66,436.64
26.96,436.69
12.29,468.75
15.86,466.6
13.87,465.48
24.09,441.34
20.45,441.83
15.07,464.7
32.72,437.99
18.23,459.12
35.56,429.69
18.36,459.8
26.35,433.63
25.92,442.84
8.01,485.13
19.63,459.12
20.02,445.31
10.08,480.8
