Sat1.Mars2000Eq.X   Sat1.Mars2000Eq.Y   Sat1.Mars2000Eq.VX   Sat1.Mars2000Eq.VY   Sat2.Mars2000Eq.X   Sat2.Mars2000Eq.Y   Sat2.Mars2000Eq.VX   Sat2.Mars2000Eq.VY   
-1.3e+04            8044                -1.37                -0.4173              -1.3e+04            8045                -0.8808              -1.423               
-1.308e+04          8019                -1.361               -0.423               -1.3e+04            8045                -0.8808              -1.423               
-1.328e+04          7954                -1.338               -0.4371              -1.3e+04            8045                -0.8808              -1.423               
-1.375e+04          7795                -1.285               -0.4681              -1.3e+04            8045                -0.8808              -1.423               
-1.476e+04          7381                -1.165               -0.5319              -1.3e+04            8045                -0.8808              -1.423               
-1.582e+04          6834                -1.033               -0.5935              -1.3e+04            8045                -0.8808              -1.423               
-1.684e+04          6175                -0.8964              -0.6479              -1.3e+04            8045                -0.8808              -1.423               
-1.779e+04          5406                -0.7572              -0.6945              -1.3e+04            8045                -0.8808              -1.423               
-1.863e+04          4530                -0.6153              -0.7333              -1.3e+04            8045                -0.8808              -1.423               
-1.934e+04          3551                -0.4703              -0.7642              -1.3e+04            8045                -0.8808              -1.423               
-1.988e+04          2477                -0.3219              -0.787               -1.3e+04            8045                -0.8808              -1.423               
-2.024e+04          1315                -0.1688              -0.8015              -1.3e+04            8045                -0.8808              -1.423               
-2.038e+04          71.55               -0.009138            -0.807               -1.3e+04            8045                -0.8808              -1.423               
-2.026e+04          -1236               0.1586               -0.8022              -1.3e+04            8045                -0.8808              -1.423               
-1.986e+04          -2542               0.3307               -0.7859              -1.3e+04            8045                -0.8808              -1.423               
-1.92e+04           -3765               0.5011               -0.7584              -1.3e+04            8045                -0.8808              -1.423               
-1.833e+04          -4873               0.6693               -0.7196              -1.3e+04            8045                -0.8808              -1.423               
-1.727e+04          -5854               0.8362               -0.6691              -1.3e+04            8045                -0.8808              -1.423               
-1.606e+04          -6695               1.002                -0.6065              -1.3e+04            8045                -0.8808              -1.423               
-1.475e+04          -7385               1.166                -0.5315              -1.3e+04            8045                -0.8808              -1.423               
-1.354e+04          -7869               1.309                -0.4543              -1.3e+04            8045                -0.8808              -1.423               
-1.219e+04          -8266               1.462                -0.3582              -1.3e+04            8045                -0.8808              -1.423               
-1.098e+04          -8513               1.596                -0.2609              -1.3e+04            8045                -0.8808              -1.423               
-9666               -8673               1.739                -0.1411              -1.3e+04            8045                -0.8808              -1.423               
-8509               -8726               1.864                -0.02096             -1.3e+04            8045                -0.8808              -1.423               
-7277               -8695               1.997                0.1258               -1.3e+04            8045                -0.8808              -1.423               
-6077               -8575               2.125                0.2914               -1.3e+04            8045                -0.8808              -1.423               
-4932               -8375               2.244                0.4757               -1.3e+04            8045                -0.8808              -1.423               
-3847               -8104               2.353                0.6805               -1.3e+04            8045                -0.8808              -1.423               
-2823               -7767               2.448                0.9078               -1.3e+04            8045                -0.8808              -1.423               
-1964               -7415               2.517                1.131                -1.3e+04            8045                -0.8808              -1.423               
-1176               -7030               2.569                1.368                -1.3e+04            8045                -0.8808              -1.423               
-467.5              -6622               2.598                1.614                -1.3e+04            8045                -0.8808              -1.423               
165.9               -6199               2.603                1.868                -1.3e+04            8045                -0.8808              -1.423               
793.2               -5713               2.579                2.156                -1.3e+04            8045                -0.8808              -1.423               
1291                -5268               2.529                2.418                -1.3e+04            8045                -0.8808              -1.423               
1772                -4773               2.441                2.705                -1.3e+04            8045                -0.8808              -1.423               
2196                -4267               2.315                2.99                 -1.3e+04            8045                -0.8808              -1.423               
2501                -3846               2.182                3.218                -1.3e+04            8045                -0.8808              -1.423               
2772                -3418               2.022                3.438                -1.3e+04            8045                -0.8808              -1.423               
3009                -2983               1.833                3.647                -1.3e+04            8045                -0.8808              -1.423               
3215                -2536               1.612                3.842                -1.3e+04            8045                -0.8808              -1.423               
3391                -2070               1.356                4.021                -1.3e+04            8045                -0.8808              -1.423               
3544                -1549               1.042                4.185                -1.3e+04            8045                -0.8808              -1.423               
3649                -1038               0.7119               4.303                -1.3e+04            8045                -0.8808              -1.423               
3712                -535.6              0.371                4.376                -1.3e+04            8045                -0.8808              -1.423               
3735                -45.13              0.03036              4.403                -1.3e+04            8045                -0.8808              -1.423               
3720                435.7               -0.3045              4.386                -1.3e+04            8045                -0.8808              -1.423               
3668                911.4               -0.6299              4.327                -1.3e+04            8045                -0.8808              -1.423               
3581                1385                -0.942               4.229                -1.3e+04            8045                -0.8808              -1.423               
3456                1863                -1.239               4.092                -1.3e+04            8045                -0.8808              -1.423               
3288                2349                -1.517               3.919                -1.3e+04            8045                -0.8808              -1.423               
3077                2838                -1.77                3.714                -1.3e+04            8045                -0.8808              -1.423               
2844                3286                -1.974               3.503                -1.3e+04            8045                -0.8808              -1.423               
2555                3759                -2.159               3.263                -1.3e+04            8045                -0.8808              -1.423               
2234                4211                -2.306               3.019                -1.3e+04            8045                -0.8808              -1.423               
1880                4643                -2.419               2.776                -1.3e+04            8045                -0.8808              -1.423               
1493                5060                -2.503               2.535                -1.3e+04            8045                -0.8808              -1.423               
1069                5465                -2.561               2.297                -1.3e+04            8045                -0.8808              -1.423               
603.5               5858                -2.595               2.064                -1.3e+04            8045                -0.8808              -1.423               
93.65               6239                -2.609               1.836                -1.3e+04            8045                -0.8808              -1.423               
-465.4              6609                -2.603               1.614                -1.3e+04            8045                -0.8808              -1.423               
-1078               6964                -2.578               1.399                -1.3e+04            8045                -0.8808              -1.423               
-1750               7303                -2.537               1.19                 -1.3e+04            8045                -0.8808              -1.423               
-2485               7622                -2.481               0.99                 -1.3e+04            8045                -0.8808              -1.423               
-3285               7914                -2.41                0.7988               -1.3e+04            8045                -0.8808              -1.423               
-4146               8170                -2.327               0.6189               -1.3e+04            8045                -0.8808              -1.423               
-5056               8383                -2.235               0.4523               -1.3e+04            8045                -0.8808              -1.423               
-6008               8546                -2.135               0.2996               -1.3e+04            8045                -0.8808              -1.423               
-6995               8654                -2.03                0.1602               -1.3e+04            8045                -0.8808              -1.423               
-8015               8703                -1.92                0.03308              -1.3e+04            8045                -0.8808              -1.423               
-9065               8688                -1.806               -0.08284             -1.3e+04            8045                -0.8808              -1.423               
-1.014e+04          8604                -1.689               -0.1885              -1.3e+04            8045                -0.8808              -1.423               
-1.124e+04          8443                -1.569               -0.2846              -1.3e+04            8045                -0.8808              -1.423               
-1.235e+04          8201                -1.445               -0.3719              -1.3e+04            8045                -0.8808              -1.423               
-1.302e+04          8011                -1.369               -0.4206              -1.3e+04            8045                -0.8808              -1.423               
-1.302e+04          8011                -1.369               -0.4206              -1.3e+04            8045                -0.8808              -1.423               
-1.302e+04          8011                -1.369               -0.4206              -1.305e+04          7959                -0.8714              -1.429               
-1.302e+04          8011                -1.369               -0.4206              -1.318e+04          7743                -0.8478              -1.443               
-1.302e+04          8011                -1.369               -0.4206              -1.353e+04          7119                -0.7794              -1.481               
-1.302e+04          8011                -1.369               -0.4206              -1.413e+04          5828                -0.6381              -1.547               
-1.302e+04          8011                -1.369               -0.4206              -1.465e+04          4358                -0.4772              -1.604               
-1.302e+04          8011                -1.369               -0.4206              -1.502e+04          2828                -0.3097              -1.645               
-1.302e+04          8011                -1.369               -0.4206              -1.523e+04          1266                -0.1387              -1.668               
-1.302e+04          8011                -1.369               -0.4206              -1.528e+04          -308.9              0.03384              -1.673               
-1.302e+04          8011                -1.369               -0.4206              -1.517e+04          -1881               0.206                -1.661               
-1.302e+04          8011                -1.369               -0.4206              -1.49e+04           -3433               0.3759               -1.631               
-1.302e+04          8011                -1.369               -0.4206              -1.446e+04          -4949               0.5419               -1.584               
-1.302e+04          8011                -1.369               -0.4206              -1.388e+04          -6412               0.7021               -1.519               
-1.302e+04          8011                -1.369               -0.4206              -1.314e+04          -7807               0.8548               -1.439               
-1.302e+04          8011                -1.369               -0.4206              -1.227e+04          -9118               0.9985               -1.343               
-1.302e+04          8011                -1.369               -0.4206              -1.127e+04          -1.033e+04          1.132                -1.233               
-1.302e+04          8011                -1.369               -0.4206              -1.014e+04          -1.144e+04          1.253                -1.11                
-1.302e+04          8011                -1.369               -0.4206              -8910               -1.242e+04          1.36                 -0.9755              
-1.302e+04          8011                -1.369               -0.4206              -7583               -1.327e+04          1.453                -0.8303              
-1.302e+04          8011                -1.369               -0.4206              -6176               -1.398e+04          1.531                -0.6762              
-1.302e+04          8011                -1.369               -0.4206              -4703               -1.454e+04          1.593                -0.5149              
-1.302e+04          8011                -1.369               -0.4206              -3181               -1.495e+04          1.637                -0.3482              
-1.302e+04          8011                -1.369               -0.4206              -1624               -1.52e+04           1.664                -0.1778              
-1.302e+04          8011                -1.369               -0.4206              -50.54              -1.529e+04          1.674                -0.005428            
-1.302e+04          8011                -1.369               -0.4206              1524                -1.521e+04          1.666                0.167                
-1.302e+04          8011                -1.369               -0.4206              3082                -1.497e+04          1.64                 0.3376               
-1.302e+04          8011                -1.369               -0.4206              4607                -1.457e+04          1.596                0.5046               
-1.302e+04          8011                -1.369               -0.4206              6084                -1.402e+04          1.536                0.6663               
-1.302e+04          8011                -1.369               -0.4206              7495                -1.332e+04          1.459                0.8209               
-1.302e+04          8011                -1.369               -0.4206              8827                -1.248e+04          1.367                0.9667               
-1.302e+04          8011                -1.369               -0.4206              1.007e+04           -1.15e+04           1.26                 1.102                
-1.302e+04          8011                -1.369               -0.4206              1.12e+04            -1.041e+04          1.14                 1.226                
-1.302e+04          8011                -1.369               -0.4206              1.221e+04           -9198               1.007                1.337                
-1.302e+04          8011                -1.369               -0.4206              1.309e+04           -7891               0.8642               1.434                
-1.302e+04          8011                -1.369               -0.4206              1.383e+04           -6501               0.712                1.515                
-1.302e+04          8011                -1.369               -0.4206              1.443e+04           -5042               0.5522               1.58                 
-1.302e+04          8011                -1.369               -0.4206              1.487e+04           -3529               0.3865               1.629                
-1.302e+04          8011                -1.369               -0.4206              1.516e+04           -1979               0.2168               1.66                 
-1.302e+04          8011                -1.369               -0.4206              1.528e+04           -407.6              0.04467              1.673                
-1.302e+04          8011                -1.369               -0.4206              1.524e+04           1168                -0.1279              1.669                
-1.302e+04          8011                -1.369               -0.4206              1.504e+04           2731                -0.299               1.647                
-1.302e+04          8011                -1.369               -0.4206              1.468e+04           4265                -0.467               1.608                
-1.302e+04          8011                -1.369               -0.4206              1.416e+04           5754                -0.6301              1.551                
