sat1.Sun.RMAG             sat1.Sun.ECC              
1.496e+08                 0                         
1.496e+08                 6.414e-16                 
1.496e+08                 6.41e-16                  
1.496e+08                 3.931e-16                 
1.496e+08                 1.478e-16                 
1.496e+08                 2.631e-16                 
1.496e+08                 8.988e-18                 
1.496e+08                 1.17e-17                  
1.496e+08                 6.418e-16                 
1.496e+08                 2.682e-16                 
1.496e+08                 3.845e-16                 
1.496e+08                 5.131e-16                 
1.496e+08                 1.153e-15                 
1.496e+08                 7.718e-16                 
1.496e+08                 7.733e-16                 
1.496e+08                 7.722e-16                 
1.496e+08                 2.624e-16                 
1.496e+08                 2.577e-16                 
1.496e+08                 3.865e-16                 
1.496e+08                 3.848e-16                 
1.496e+08                 2.567e-16                 
1.496e+08                 2.564e-16                 
1.496e+08                 2.752e-16                 
1.496e+08                 4.013e-17                 
1.496e+08                 2.667e-16                 
1.496e+08                 1.568e-16                 
1.496e+08                 1.348e-16                 
1.496e+08                 5.016e-17                 
1.496e+08                 7.702e-16                 
1.496e+08                 2.629e-16                 
1.496e+08                 1.348e-16                 
1.496e+08                 6.409e-16                 
1.496e+08                 8.975e-16                 
1.496e+08                 1.025e-15                 
1.496e+08                 5.131e-16                 
1.496e+08                 5.135e-16                 
1.496e+08                 1.539e-15                 
1.496e+08                 1.411e-15                 
1.496e+08                 6.427e-16                 
1.496e+08                 3.856e-16                 
1.496e+08                 3.991e-16                 
1.496e+08                 5.127e-16                 
1.496e+08                 6.415e-16                 
1.496e+08                 8.981e-16                 
1.496e+08                 8.975e-16                 
1.496e+08                 1.411e-15                 
1.496e+08                 2.307e-15                 
1.496e+08                 2.179e-15                 
1.496e+08                 2.307e-15                 
1.496e+08                 2.308e-15                 
1.496e+08                 2.307e-15                 
1.496e+08                 2.435e-15                 
1.496e+08                 2.692e-15                 
1.496e+08                 2.691e-15                 
1.496e+08                 2.948e-15                 
1.496e+08                 2.563e-15                 
1.496e+08                 2.435e-15                 
1.496e+08                 2.311e-15                 
1.496e+08                 2.823e-15                 
1.496e+08                 3.334e-15                 
1.496e+08                 3.078e-15                 
1.496e+08                 3.462e-15                 
1.496e+08                 3.465e-15                 
1.496e+08                 3.589e-15                 
1.496e+08                 2.826e-15                 
1.496e+08                 3.333e-15                 
1.496e+08                 3.588e-15                 
1.496e+08                 3.332e-15                 
1.496e+08                 3.204e-15                 
1.496e+08                 2.692e-15                 
1.496e+08                 2.691e-15                 
1.496e+08                 2.694e-15                 
1.496e+08                 2.566e-15                 
1.496e+08                 2.823e-15                 
1.496e+08                 2.692e-15                 
