Sat.Earth.RadPer          Sat.Earth.RadApo          Sat.Earth.Energy          Sat.Earth.SMA             Sat.Earth.SemilatusRectum   Sat.EarthMJ2000Eq.HX      Sat.EarthMJ2000Eq.HY      Sat.EarthMJ2000Eq.HZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
17999.99999999999         102000.0000000002         -3.321670345833329        60000.00000000008         30600                       0                         -78093.44886064388        78093.44886064387         17999.99999999999         0                         0                         0                         4.338524936702439         4.33852493670244          
18000                     101999.9999999999         -3.321670345833336        59999.99999999995         30599.99999999999           0                         -78093.44886064387        78093.44886064385         17999.99938487587         4.338524887281488         4.338524887281489         -0.001230248232791205     4.338524788439588         4.338524788439589         
17999.99999999999         102000                    -3.321670345833333        60000.00000000001         30599.99999999997           0                         -78093.44886064385        78093.44886064384         17999.99113853164         16.46696424733828         16.46696424733829         -0.004669432052218312     4.338522800830873         4.338522800830874         
17999.99999999999         101999.9999999994         -3.321670345833351        59999.99999999969         30599.99999999996           2.842170943040401e-14     -78093.44886064382        78093.44886064381         17999.90934792342         52.66831540266838         52.66831540266839         -0.01493477086255757      4.338503086985313         4.338503086985313         
17999.99999999999         101999.9999999994         -3.321670345833351        59999.99999999969         30599.99999999996           1.13686837721616e-13      -78093.44886064384        78093.44886064382         17999.12076862674         164.025250781817          164.0252507818171         -0.04651002022155297      4.338313023546134         4.338313023546135         
17999.99999999997         101999.9999999994         -3.321670345833351        59999.99999999969         30599.99999999996           0                         -78093.44886064382        78093.44886064381         17991.82966650175         499.9951826637283         499.9951826637284         -0.141735460311112        4.336556273570257         4.336556273570258         
17999.99999999997         101999.9999999995         -3.321670345833347        59999.99999999975         30599.99999999995           0                         -78093.44886064381        78093.4488606438          17918.65207695094         1577.199729498882         1577.199729498883         -0.4458262397775499       4.318979547318269         4.318979547318269         
17999.99999999988         102000.0000000136         -3.32167034583296         60000.00000000675         30600.00000000045           -3.637978807091713e-12    -78093.44886064445        78093.44886064444         17678.59895257922         3131.857420059463         3131.857420059464         -0.8771181072864728       4.262014213353604         4.262014213353605         
18000.00000000011         102000.0000000162         -3.321670345832882        60000.00000000816         30600.00000000088           -3.637978807091713e-12    -78093.448860645          78093.44886064499         17258.88476814211         4747.427396936221         4747.427396936223         -1.308486107881788        4.164898661138374         4.164898661138375         
18000.0000000008          101999.9999999955         -3.321670345833436        59999.99999999815         30600.00000000095           -3.637978807091713e-12    -78093.44886064509        78093.44886064508         16658.12984738587         6371.975338607631         6371.975338607634         -1.717248423662566        4.031135839977998         4.031135839977999         
18000.00000000224         101999.9999999403         -3.321670345834924        59999.99999997126         30600.00000000056           -3.637978807091713e-12    -78093.4488606446         78093.44886064458         15847.40958268888         8042.865606611116         8042.865606611119         -2.104493830787731        3.859765691706079         3.859765691706079         
18000.00000000411         101999.9999998619         -3.321670345837042        59999.99999993302         30599.99999999971           0                         -78093.44886064352        78093.4488606435          14827.31603593639         9722.001789688495         9722.001789688498         -2.454024212760953        3.657804348460257         3.657804348460258         
18000.00000000485         101999.9999998292         -3.321670345837926        59999.99999991704         30599.99999999929           -7.275957614183426e-12    -78093.44886064299        78093.44886064297         13712.33450669441         11247.87201530149         11247.87201530149         -2.733669440845756        3.452766181772689         3.45276618177269          
18000.00000000517         101999.9999998142         -3.321670345838333        59999.99999990969         30599.99999999909           -7.275957614183426e-12    -78093.44886064273        78093.4488606427          12502.74695087839         12669.25004000376         12669.25004000376         -2.959789732891458        3.246897088159722         3.246897088159723         
