Alpha,T1_Re3.100_M0.10_N9.0, , 
           -5,    -0.5539674, , 
           -4,    -0.4454357, , 
           -3,    -0.3356391, , 
           -2,    -0.2245567, , 
           -1,    -0.1125653, , 
            0, -1.752256e-09, , 
            1,     0.1125664, , 
            2,     0.2245609, , 
            3,     0.3356489, , 
            4,     0.4454535, , 
            5,      0.553995, , 
            6,     0.6602943, , 
            7,     0.7724269, , 
            8,     0.8995622, , 
            9,      1.027728, , 
           10,      1.126028, , 
           11,      1.216089, , 
           12,      1.311401, , 
           13,      1.401715, , 
           14,      1.487779, , 
           15,      1.553962, , 
           16,      1.598448, , 
           17,      1.636174, , 
           18,      1.651756, , 
           19,      1.631607, , 
           20,      1.542548, , 

