Alpha,T1_Re3.100_M0.10_N9.0, , 
           -5,  -0.002438515, , 
           -4,  -0.001370045, , 
           -3,  -0.000667304, , 
           -2,  -0.000277524, , 
           -1, -8.388046e-05, , 
            0,  2.743063e-10, , 
            1,  8.363745e-05, , 
            2,   0.000276546, , 
            3,  0.0006650337, , 
            4,   0.001365921, , 
            5,    0.00243215, , 
            6,   0.004064651, , 
            7,   0.004272364, , 
            8,  0.0008690295, , 
            9,  -0.002865418, , 
           10, -0.0002388867, , 
           11,    0.00395679, , 
           12,   0.006766666, , 
           13,    0.01002682, , 
           14,    0.01365473, , 
           15,    0.01985549, , 
           16,    0.02753235, , 
           17,    0.03246391, , 
           18,    0.03380169, , 
           19,    0.02918847, , 
           20,    0.01637864, , 

