Alpha,T2-LLT-1156.3kg-x0.5m, , 
          0.6,     0.2332148, , 
          0.7,     0.2420318, , 
          0.8,     0.2508476, , 
          0.9,     0.2596628, , 
            1,     0.2684761, , 
          1.1,      0.277289, , 
          1.2,     0.2861002, , 
          1.3,     0.2949097, , 
          1.4,     0.3037186, , 
          1.5,     0.3125249, , 
          1.6,     0.3213298, , 
          1.7,     0.3301338, , 
          1.8,     0.3389354, , 
          1.9,     0.3477352, , 
            2,     0.3565339, , 
          2.1,     0.3653759, , 
          2.2,     0.3741347, , 
          2.3,     0.3829648, , 
          2.4,     0.3917193, , 
          2.5,     0.4005454, , 
          2.6,     0.4092946, , 
          2.7,     0.4181164, , 
          2.8,     0.4268623, , 
          2.9,     0.4356803, , 
            3,     0.4444218, , 
          3.1,      0.453235, , 
          3.2,     0.4619721, , 
          3.3,     0.4707808, , 
          3.4,      0.479514, , 
          3.5,     0.4883177, , 
          3.6,     0.4970462, , 
          3.7,     0.5058443, , 
          3.8,     0.5146124, , 
          3.9,     0.5233721, , 
            4,     0.5321278, , 
          4.1,     0.5408803, , 
          4.2,     0.5496293, , 
          4.3,      0.558376, , 
          4.4,     0.5671206, , 
          4.5,     0.5758629, , 
          4.6,     0.5846019, , 
          4.7,      0.593338, , 
          4.8,     0.6020707, , 
          4.9,      0.610801, , 
            5,     0.6195288, , 
          5.1,     0.6282543, , 
          5.2,     0.6369764, , 
          5.3,     0.6456959, , 
          5.4,     0.6544118, , 
          5.5,     0.6631247, , 
          5.6,     0.6718348, , 
          5.7,     0.6805411, , 
          5.8,     0.6892374, , 
          5.9,     0.6978932, , 
            6,      0.706421, , 
          6.1,     0.7149387, , 
          6.2,     0.7233949, , 
          6.3,     0.7317961, , 
          6.4,      0.740145, , 
          6.5,     0.7485114, , 
          6.6,     0.7568652, , 
          6.7,     0.7651723, , 
          6.8,       0.77345, , 
          6.9,     0.7817389, , 
            7,     0.7900255, , 
          7.1,     0.7982629, , 
          7.2,     0.8064993, , 
          7.3,      0.814764, , 
          7.4,     0.8229862, , 
          7.5,     0.8312238, , 
          7.6,     0.8394651, , 
          7.7,     0.8476015, , 
          7.8,     0.8557869, , 
          7.9,     0.8640139, , 
            8,     0.8721613, , 
          8.1,     0.8803249, , 
          8.2,     0.8884891, , 
          8.3,     0.8966471, , 
          8.4,     0.9048347, , 
          8.5,      0.912948, , 
          8.6,     0.9211312, , 
          8.7,     0.9292275, , 
          8.8,     0.9373895, , 
          8.9,     0.9455031, , 
            9,     0.9536053, , 
          9.1,     0.9617405, , 
          9.2,     0.9698235, , 
          9.3,     0.9779095, , 
          9.4,         0.986, , 
          9.5,     0.9940532, , 
          9.6,       1.00209, , 
          9.7,      1.010136, , 
          9.8,      1.018184, , 
          9.9,      1.026223, , 
           10,      1.034215, , 
         10.1,      1.042224, , 
         10.2,      1.050229, , 
         10.3,      1.058205, , 
         10.4,      1.066153, , 
         10.5,      1.074103, , 
         10.6,      1.082052, , 
         10.7,      1.089986, , 
         10.8,      1.097901, , 
         10.9,      1.105799, , 
           11,      1.113712, , 
         11.1,      1.121546, , 
         11.2,      1.129408, , 
         11.3,      1.137266, , 
         11.4,      1.145123, , 
         11.5,      1.152926, , 
         11.6,       1.16065, , 
         11.7,      1.168443, , 
         11.8,      1.176225, , 
         11.9,      1.183978, , 
           12,      1.191657, , 

