,LLT -    2.3°-62.65m/s, ,, , 
-5.431298,0.114938,-5.499,6.50E-05, , 
-5.22986,0.2055124,-5.488149,0.02883859, , 
-4.899645,0.2719984,-5.455639,0.05756326, , 
-4.448784,0.3209876,-5.401598,0.08606078, , 
-3.88838,0.3584727,-5.326239,0.1142187, , 
-3.232231,0.3885762,-5.22986,0.1419258, , 
-2.496494,0.413641,-5.112841,0.1690728, , 
-1.699284,0.4344271,-4.975644,0.1955525, , 
-0.8602331,0.4506442,-4.81881,0.2212605, , 
-8.88E-15,0.4592814,-4.642959,0.2460953, , 
0.8602331,0.4506442,-4.448784,0.2699589, , 
1.699284,0.4344271,-4.237052,0.292757, , 
2.496494,0.413641,-4.008598,0.3143998, , 
3.232231,0.3885762,-3.764324,0.3348018, , 
3.88838,0.3584727,-3.505194,0.3538824, , 
4.448784,0.3209876,-3.232231,0.3715665, , 
4.899645,0.2719984,-2.946512,0.3877841, , 
5.22986,0.2055124,-2.649163,0.4024714, , 
5.431298,0.114938,-2.34136,0.4155703, , 
, ,-2.024317,0.4270291, , 
, ,-1.699284,0.4368026, , 
, ,-1.367546,0.4448523, , 
, ,-1.03041,0.4511463, , 
, ,-0.6892074,0.4556599, , 
, ,-0.3452851,0.4583752, , 
, ,8.88E-15,0.4592814, , 
, ,0.3452851,0.4583752, , 
, ,0.6892074,0.4556599, , 
, ,1.03041,0.4511463, , 
, ,1.367546,0.4448523, , 
, ,1.699284,0.4368026, , 
, ,2.024317,0.4270291, , 
, ,2.34136,0.4155703, , 
, ,2.649163,0.4024714, , 
, ,2.946512,0.3877841, , 
, ,3.232231,0.3715665, , 
, ,3.505194,0.3538824, , 
, ,3.764324,0.3348018, , 
, ,4.008598,0.3143998, , 
, ,4.237052,0.292757, , 
, ,4.448784,0.2699589, , 
, ,4.642959,0.2460953, , 
, ,4.81881,0.2212605, , 
, ,4.975644,0.1955525, , 
, ,5.112841,0.1690728, , 
, ,5.22986,0.1419258, , 
, ,5.326239,0.1142187, , 
, ,5.401598,0.08606078, , 
, ,5.455639,0.05756326, , 
, ,5.488149,0.02883859, , 
, ,5.499,6.50E-05, , 
, ,5.488149,0.02883859, , 
, ,5.455639,0.05756326, , 
, ,5.401598,0.08606078, , 
, ,5.326239,0.1142187, , 
, ,5.22986,0.1419258, , 
, ,5.112841,0.1690728, , 
, ,4.975644,0.1955525, , 
, ,4.81881,0.2212605, , 
, ,4.642959,0.2460953, , 
, ,4.448784,0.2699589, , 
, ,4.237052,0.292757, , 
, ,4.008598,0.3143998, , 
, ,3.764324,0.3348018, , 
, ,3.505194,0.3538824, , 
, ,3.232231,0.3715665, , 
, ,2.946512,0.3877841, , 
, ,2.649163,0.4024714, , 
, ,2.34136,0.4155703, , 
, ,2.024317,0.4270291, , 
, ,1.699284,0.4368026, , 
, ,1.367546,0.4448523, , 
, ,1.03041,0.4511463, , 
, ,0.6892074,0.4556599, , 
, ,0.3452851,0.4583752, , 
, ,8.88E-15,0.4592814, , 
, ,-0.3452851,0.4583752, , 
, ,-0.6892074,0.4556599, , 
, ,-1.03041,0.4511463, , 
, ,-1.367546,0.4448523, , 
, ,-1.699284,0.4368026, , 
, ,-2.024317,0.4270291, , 
, ,-2.34136,0.4155703, , 
, ,-2.649163,0.4024714, , 
, ,-2.946512,0.3877841, , 
, ,-3.232231,0.3715665, , 
, ,-3.505194,0.3538824, , 
, ,-3.764324,0.3348018, , 
, ,-4.008598,0.3143998, , 
, ,-4.237052,0.292757, , 
, ,-4.448784,0.2699589, , 
, ,-4.642959,0.2460953, , 
, ,-4.81881,0.2212605, , 
, ,-4.975644,0.1955525, , 
, ,-5.112841,0.1690728, , 
, ,-5.22986,0.1419258, , 
, ,-5.326239,0.1142187, , 
, ,-5.401598,0.08606078, , 
, ,-5.455639,0.05756326, , 
, ,-5.488149,0.02883859, , 
, ,-5.499,6.50E-05, , 
