,LLT -   10.0°-38.12m/s, ,, , 
-5.431298,0.3159978,-5.499,0.000175034, , 
-5.22986,0.563782,-5.488149,0.07771455, , 
-4.899645,0.7431408,-5.455639,0.1551221, , 
-4.448784,0.8721489,-5.401598,0.2319175, , 
-3.88838,0.9697996,-5.326239,0.3077977, , 
-3.232231,1.048237,-5.22986,0.3824631, , 
-2.496494,1.114111,-5.112841,0.4556192, , 
-1.699284,1.169466,-4.975644,0.5269771, , 
-0.8602331,1.21351,-4.81881,0.5962552, , 
-8.88E-15,1.237677,-4.642959,0.6631803, , 
0.8602331,1.21351,-4.448784,0.727488, , 
1.699284,1.169466,-4.237052,0.7889247, , 
2.496494,1.114111,-4.008598,0.8472479, , 
3.232231,1.048237,-3.764324,0.9022274, , 
3.88838,0.9697996,-3.505194,0.9536462, , 
4.448784,0.8721489,-3.232231,1.001301, , 
4.899645,0.7431408,-2.946512,1.045005, , 
5.22986,0.563782,-2.649163,1.084584, , 
5.431298,0.3159978,-2.34136,1.119883, , 
, ,-2.024317,1.150763, , 
, ,-1.699284,1.1771, , 
, ,-1.367546,1.198793, , 
, ,-1.03041,1.215754, , 
, ,-0.6892074,1.227917, , 
, ,-0.3452851,1.235234, , 
, ,8.88E-15,1.237677, , 
, ,0.3452851,1.235234, , 
, ,0.6892074,1.227917, , 
, ,1.03041,1.215754, , 
, ,1.367546,1.198793, , 
, ,1.699284,1.1771, , 
, ,2.024317,1.150763, , 
, ,2.34136,1.119883, , 
, ,2.649163,1.084584, , 
, ,2.946512,1.045005, , 
, ,3.232231,1.001301, , 
, ,3.505194,0.9536462, , 
, ,3.764324,0.9022274, , 
, ,4.008598,0.8472479, , 
, ,4.237052,0.7889247, , 
, ,4.448784,0.727488, , 
, ,4.642959,0.6631803, , 
, ,4.81881,0.5962552, , 
, ,4.975644,0.5269771, , 
, ,5.112841,0.4556192, , 
, ,5.22986,0.3824631, , 
, ,5.326239,0.3077977, , 
, ,5.401598,0.2319175, , 
, ,5.455639,0.1551221, , 
, ,5.488149,0.07771455, , 
, ,5.499,0.000175034, , 
, ,5.488149,0.07771455, , 
, ,5.455639,0.1551221, , 
, ,5.401598,0.2319175, , 
, ,5.326239,0.3077977, , 
, ,5.22986,0.3824631, , 
, ,5.112841,0.4556192, , 
, ,4.975644,0.5269771, , 
, ,4.81881,0.5962552, , 
, ,4.642959,0.6631803, , 
, ,4.448784,0.727488, , 
, ,4.237052,0.7889247, , 
, ,4.008598,0.8472479, , 
, ,3.764324,0.9022274, , 
, ,3.505194,0.9536462, , 
, ,3.232231,1.001301, , 
, ,2.946512,1.045005, , 
, ,2.649163,1.084584, , 
, ,2.34136,1.119883, , 
, ,2.024317,1.150763, , 
, ,1.699284,1.1771, , 
, ,1.367546,1.198793, , 
, ,1.03041,1.215754, , 
, ,0.6892074,1.227917, , 
, ,0.3452851,1.235234, , 
, ,8.88E-15,1.237677, , 
, ,-0.3452851,1.235234, , 
, ,-0.6892074,1.227917, , 
, ,-1.03041,1.215754, , 
, ,-1.367546,1.198793, , 
, ,-1.699284,1.1771, , 
, ,-2.024317,1.150763, , 
, ,-2.34136,1.119883, , 
, ,-2.649163,1.084584, , 
, ,-2.946512,1.045005, , 
, ,-3.232231,1.001301, , 
, ,-3.505194,0.9536462, , 
, ,-3.764324,0.9022274, , 
, ,-4.008598,0.8472479, , 
, ,-4.237052,0.7889247, , 
, ,-4.448784,0.727488, , 
, ,-4.642959,0.6631803, , 
, ,-4.81881,0.5962552, , 
, ,-4.975644,0.5269771, , 
, ,-5.112841,0.4556192, , 
, ,-5.22986,0.3824631, , 
, ,-5.326239,0.3077977, , 
, ,-5.401598,0.2319175, , 
, ,-5.455639,0.1551221, , 
, ,-5.488149,0.07771455, , 
, ,-5.499,0.000175034, , 
