Alpha,T2-LLT-1156.3kg-x0.5m, , Alpha,T2-LLT-1156.3kg-x0.5m, , 
          0.6,   0.009056252, ,           1.3,    0.00909213, , 
          0.7,   0.009262474, ,           1.4,   0.009295714, , 
          0.8,   0.009474947, ,           1.5,   0.009505455, , 
          0.9,   0.009693492, ,           1.6,    0.00972134, , 
            1,   0.009918543, ,           1.7,   0.009943509, , 
          1.1,    0.01014974, ,           1.8,    0.01017168, , 
          1.2,    0.01038741, ,           1.9,    0.01040656, , 
          1.3,     0.0106315, ,             2,    0.01064768, , 
          1.4,    0.01088168, ,           2.1,    0.01089514, , 
          1.5,    0.01113852, ,           2.2,     0.0111492, , 
          1.6,    0.01140165, ,           2.3,    0.01140961, , 
          1.7,      0.011671, ,           2.4,    0.01167626, , 
          1.8,    0.01194691, ,           2.5,    0.01194957, , 
          1.9,     0.0122293, ,           2.6,    0.01222926, , 
            2,    0.01251799, ,           2.7,    0.01251524, , 
          2.1,    0.01281141, ,           2.8,    0.01280777, , 
          2.2,    0.01311455, ,           2.9,    0.01310699, , 
          2.3,     0.0134213, ,             3,    0.01341068, , 
          2.4,    0.01373726, ,           3.1,    0.01372395, , 
          2.5,    0.01405684, ,           3.2,    0.01404285, , 
          2.6,    0.01438614, ,           3.3,    0.01436605, , 
          2.7,    0.01471865, ,           3.4,      0.014699, , 
          2.8,    0.01506084, ,           3.5,    0.01503526, , 
          2.9,    0.01540622, ,           3.6,    0.01538135, , 
            3,    0.01576159, ,           3.7,    0.01573069, , 
          3.1,    0.01612004, ,           3.8,    0.01608998, , 
          3.2,    0.01648855, ,           3.9,    0.01645229, , 
          3.3,    0.01685998, ,             4,    0.01682468, , 
          3.4,    0.01724151, ,           4.1,    0.01719994, , 
          3.5,    0.01762598, ,           4.2,    0.01758547, , 
          3.6,    0.01802067, ,           4.3,     0.0179738, , 
          3.7,    0.01841826, ,           4.4,    0.01837257, , 
          3.8,    0.01882368, ,           4.5,    0.01877382, , 
          3.9,     0.0192359, ,           4.6,    0.01918303, , 
            4,    0.01965474, ,           4.7,    0.01960174, , 
          4.1,    0.02008018, ,           4.8,    0.02002261, , 
          4.2,    0.02051228, ,           4.9,    0.02045153, , 
          4.3,    0.02095081, ,             5,    0.02088726, , 
          4.4,    0.02139578, ,           5.1,    0.02132953, , 
          4.5,    0.02184723, ,           5.2,    0.02177835, , 
          4.6,    0.02230529, ,           5.3,    0.02223376, , 
          4.7,    0.02276992, ,           5.4,    0.02269575, , 
          4.8,    0.02324114, ,           5.5,    0.02316423, , 
          4.9,    0.02371879, ,           5.6,    0.02363917, , 
            5,    0.02420293, ,           5.7,    0.02412058, , 
          5.1,    0.02469351, ,           5.8,    0.02460852, , 
          5.2,    0.02519066, ,           5.9,    0.02510298, , 
          5.3,    0.02569423, ,             6,     0.0256039, , 
          5.4,    0.02620439, ,           6.1,    0.02611191, , 
          5.5,    0.02672101, ,           6.2,    0.02662781, , 
          5.6,    0.02724404, ,           6.3,    0.02715218, , 
          5.7,    0.02777357, ,           6.4,    0.02768799, , 
          5.8,     0.0283101, ,           6.5,    0.02823341, , 
          5.9,    0.02885582, ,           6.6,    0.02878506, , 
            6,    0.02941703, ,           6.7,    0.02934678, , 
          6.1,    0.02998481, ,           6.8,    0.02991515, , 
          6.2,    0.03056282, ,           6.9,    0.03049149, , 
          6.3,     0.0311505, ,             7,    0.03107312, , 
          6.4,    0.03174728, ,           7.1,    0.03166219, , 
          6.5,    0.03234836, ,           7.2,    0.03226121, , 
          6.6,    0.03295603, ,           7.3,     0.0328664, , 
          6.7,     0.0335724, ,           7.4,    0.03347647, , 
          6.8,    0.03419608, ,           7.5,     0.0340931, , 
          6.9,    0.03482439, ,           7.6,    0.03471662, , 
            7,    0.03545818, ,           7.7,    0.03534642, , 
          7.1,     0.0361007, ,           7.8,    0.03598252, , 
          7.2,    0.03674846, ,           7.9,    0.03662479, , 
          7.3,    0.03739965, ,             8,    0.03727131, , 
          7.4,    0.03805904, ,           8.1,     0.0379269, , 
          7.5,    0.03872267, ,           8.2,     0.0385861, , 
          7.6,    0.03939107, ,           8.3,     0.0392513, , 
          7.7,    0.04007249, ,           8.4,    0.03992233, , 
          7.8,    0.04075491, ,           8.5,    0.04059984, , 
          7.9,    0.04143834, ,           8.6,    0.04128067, , 
            8,    0.04213255, ,           8.7,     0.0419726, , 
          8.1,    0.04283259, ,           8.8,    0.04266805, , 
          8.2,    0.04353674, ,           8.9,    0.04336399, , 
          8.3,    0.04424599, ,             9,    0.04407334, , 
          8.4,    0.04495671, ,           9.1,    0.04478092, , 
          8.5,    0.04567972, ,           9.2,    0.04549908, , 
          8.6,    0.04640102, ,           9.3,    0.04622277, , 
          8.7,    0.04713491, ,           9.4,    0.04694817, , 
          8.8,    0.04786704, ,           9.5,    0.04767581, , 
          8.9,     0.0486078, ,           9.6,    0.04841661, , 
            9,    0.04935661, ,           9.7,    0.04915586, , 
          9.1,    0.05010486, ,           9.8,    0.04990674, , 
          9.2,    0.05086165, ,           9.9,    0.05065672, , 
          9.3,    0.05162344, ,            10,    0.05141789, , 
          9.4,    0.05238965, ,          10.1,    0.05217775, , 
          9.5,    0.05316245, ,          10.2,    0.05294894, , 
          9.6,    0.05394081, ,          10.3,    0.05371884, , 
          9.7,    0.05472311, ,          10.4,    0.05449771, , 
          9.8,    0.05551007, ,          10.5,    0.05528108, , 
          9.9,    0.05630237, ,          10.6,    0.05606965, , 
           10,    0.05710098, ,          10.7,    0.05686436, , 
         10.1,    0.05790342, ,          10.8,    0.05766489, , 
         10.2,    0.05871073, ,          10.9,    0.05846889, , 
         10.3,    0.05952343, ,            11,    0.05927729, , 
         10.4,    0.06034179, ,          11.1,    0.06009196, , 
         10.5,    0.06116447, ,          11.2,    0.06091101, , 
         10.6,    0.06199149, ,          11.3,     0.0617352, , 
         10.7,    0.06282348, ,          11.4,    0.06256355, , 
         10.8,    0.06366047, ,          11.5,    0.06339672, , 
         10.9,    0.06450226, ,          11.6,    0.06423503, , 
           11,    0.06534416, ,          11.7,    0.06507739, , 
         11.1,    0.06619921, ,          11.8,    0.06592511, , 
         11.2,    0.06705529, ,          11.9,    0.06677665, , 
         11.3,    0.06791521, ,            12,    0.06763306, , 
         11.4,    0.06877534, , , , , 
         11.5,    0.06964355, , , , , 
         11.6,    0.07052263, , , , , 
         11.7,    0.07139694, , , , , 
         11.8,    0.07227755, , , , , 
         11.9,    0.07316347, , , , , 
           12,    0.07405924, , , , , 

