 Alpha,T2-VLM1-1156.3kg-x0.5m, , 
0.9,0.009063421, , 
1,0.009248733, , 
1.1,0.009438974, , 
1.2,0.009634281, , 
1.3,0.009834676, , 
1.4,0.01004008, , 
1.5,0.01025054, , 
1.6,0.0104661, , 
1.7,0.01068683, , 
1.8,0.01091267, , 
1.9,0.01114371, , 
2,0.01137982, , 
2.1,0.01162111, , 
2.2,0.01186748, , 
2.3,0.01211911, , 
2.4,0.01237593, , 
2.5,0.01263804, , 
2.6,0.01290533, , 
2.7,0.01317779, , 
2.8,0.01345544, , 
2.9,0.01373836, , 
3,0.01402638, , 
3.1,0.01431976, , 
3.2,0.01461822, , 
3.3,0.01492204, , 
3.4,0.015231, , 
3.5,0.01554519, , 
3.6,0.01586463, , 
3.7,0.01618926, , 
3.8,0.01651913, , 
3.9,0.01685418, , 
4,0.0171945, , 
4.1,0.01754001, , 
4.2,0.01789076, , 
4.3,0.01824669, , 
4.4,0.01860789, , 
4.5,0.01897424, , 
4.6,0.0193458, , 
4.7,0.0197225, , 
4.8,0.02010431, , 
4.9,0.02049135, , 
5,0.02088352, , 
5.1,0.02128078, , 
5.2,0.02168331, , 
5.3,0.02209099, , 
5.4,0.02250376, , 
5.5,0.0229217, , 
5.6,0.02334487, , 
5.7,0.02377308, , 
5.8,0.02420638, , 
5.9,0.02464495, , 
6,0.02508856, , 
6.1,0.02553725, , 
6.2,0.02599095, , 
6.3,0.02644979, , 
6.4,0.02691371, , 
6.5,0.02738286, , 
6.6,0.02785753, , 
6.7,0.02834781, , 
6.8,0.02884953, , 
6.9,0.0293609, , 
7,0.02988493, , 
7.1,0.03042017, , 
7.2,0.03096091, , 
7.3,0.03150795, , 
7.4,0.03206124, , 
7.5,0.03262304, , 
7.6,0.03319176, , 
7.7,0.03376352, , 
7.8,0.03434117, , 
7.9,0.03492685, , 
8,0.03551927, , 
8.1,0.03611191, , 
8.2,0.03671371, , 
8.3,0.03731969, , 
8.4,0.03792881, , 
8.5,0.03854375, , 
8.6,0.03916521, , 
8.7,0.03978986, , 
8.8,0.04042066, , 
8.9,0.04105892, , 
9,0.04169858, , 
9.1,0.04234345, , 
9.2,0.04299172, , 
9.3,0.04364507, , 
9.4,0.04430483, , 
9.5,0.04496912, , 
9.6,0.04563725, , 
9.7,0.04630965, , 
9.8,0.04698809, , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
