 Alpha,T2-VLM1-1156.3kg-x0.5m, , 
0.9,0.2346014, , 
1,0.2427384, , 
1.1,0.2508739, , 
1.2,0.259008, , 
1.3,0.2671406, , 
1.4,0.2752716, , 
1.5,0.283401, , 
1.6,0.2915287, , 
1.7,0.2996547, , 
1.8,0.3077789, , 
1.9,0.3159013, , 
2,0.3240218, , 
2.1,0.3321403, , 
2.2,0.3402568, , 
2.3,0.3483714, , 
2.4,0.3564838, , 
2.5,0.364594, , 
2.6,0.3727021, , 
2.7,0.3808078, , 
2.8,0.3889113, , 
2.9,0.3970124, , 
3,0.4051111, , 
3.1,0.4132074, , 
3.2,0.4213011, , 
3.3,0.4293922, , 
3.4,0.4374807, , 
3.5,0.4455665, , 
3.6,0.4536496, , 
3.7,0.46173, , 
3.8,0.4698074, , 
3.9,0.477882, , 
4,0.4859537, , 
4.1,0.4940223, , 
4.2,0.502088, , 
4.3,0.5101505, , 
4.4,0.5182098, , 
4.5,0.526266, , 
4.6,0.5343189, , 
4.7,0.5423685, , 
4.8,0.5504148, , 
4.9,0.5584576, , 
5,0.566497, , 
5.1,0.5745329, , 
5.2,0.5825652, , 
5.3,0.5905939, , 
5.4,0.5986189, , 
5.5,0.6066402, , 
5.6,0.6146578, , 
5.7,0.6226715, , 
5.8,0.6306814, , 
5.9,0.6386873, , 
6,0.6466892, , 
6.1,0.6546872, , 
6.2,0.662681, , 
6.3,0.6706708, , 
6.4,0.6786563, , 
6.5,0.6866376, , 
6.6,0.6946147, , 
6.7,0.7025874, , 
6.8,0.7105557, , 
6.9,0.7185197, , 
7,0.7264791, , 
7.1,0.734434, , 
7.2,0.7423843, , 
7.3,0.75033, , 
7.4,0.758271, , 
7.5,0.7662073, , 
7.6,0.7741387, , 
7.7,0.7820654, , 
7.8,0.7899872, , 
7.9,0.797904, , 
8,0.8058159, , 
8.1,0.8137227, , 
8.2,0.8216245, , 
8.3,0.8295211, , 
8.4,0.8374126, , 
8.5,0.8452988, , 
8.6,0.8531798, , 
8.7,0.8610554, , 
8.8,0.8689257, , 
8.9,0.8767905, , 
9,0.8846499, , 
9.1,0.8925037, , 
9.2,0.900352, , 
9.3,0.9081947, , 
9.4,0.9160317, , 
9.5,0.923863, , 
9.6,0.9316885, , 
9.7,0.9395082, , 
9.8,0.9473221, , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
