Alpha,T2-LLT-1156.3kg-x0.5m, , Alpha,T2-LLT-1156.3kg-x0.5m, , 
          0.6,   0.002319615, ,           1.3,   0.002344172, , 
          0.7,   0.002499592, ,           1.4,   0.002521577, , 
          0.8,    0.00268626, ,           1.5,   0.002705674, , 
          0.9,    0.00287963, ,           1.6,   0.002896469, , 
            1,   0.003079688, ,           1.7,   0.003093949, , 
          1.1,   0.003286456, ,           1.8,   0.003298128, , 
          1.2,   0.003499905, ,           1.9,   0.003508973, , 
          1.3,   0.003720031, ,             2,   0.003726508, , 
          1.4,    0.00394685, ,           2.1,   0.003950724, , 
          1.5,   0.004180319, ,           2.2,   0.004181596, , 
          1.6,   0.004420459, ,           2.3,   0.004419147, , 
          1.7,   0.004667277, ,           2.4,   0.004663371, , 
          1.8,   0.004920742, ,           2.5,   0.004914227, , 
          1.9,   0.005180855, ,           2.6,   0.005171738, , 
            2,   0.005447632, ,           2.7,   0.005435915, , 
          2.1,   0.005719245, ,           2.8,   0.005706722, , 
          2.2,   0.006000671, ,           2.9,   0.005984141, , 
          2.3,   0.006285766, ,             3,   0.006266278, , 
          2.4,   0.006580626, ,           3.1,   0.006558474, , 
          2.5,   0.006878928, ,           3.2,   0.006856114, , 
          2.6,   0.007187066, ,           3.3,   0.007158045, , 
          2.7,   0.007498525, ,           3.4,   0.007470187, , 
          2.8,   0.007819968, ,           3.5,    0.00778555, , 
          2.9,   0.008144578, ,           3.6,   0.008111028, , 
            3,   0.008479279, ,           3.7,   0.008439508, , 
          3.1,   0.008816993, ,           3.8,   0.008778222, , 
          3.2,   0.009164924, ,           3.9,   0.009119803, , 
          3.3,   0.009515726, ,             4,   0.009471742, , 
          3.4,   0.009876881, ,           4.1,     0.0098264, , 
          3.5,    0.01024074, ,           4.2,    0.01019152, , 
          3.6,    0.01061508, ,           4.3,     0.0105592, , 
          3.7,    0.01099195, ,           4.4,    0.01093747, , 
          3.8,    0.01137687, ,           4.5,    0.01131818, , 
          3.9,    0.01176872, ,           4.6,    0.01170698, , 
            4,    0.01216719, ,           4.7,    0.01210536, , 
          4.1,    0.01257218, ,           4.8,    0.01250562, , 
          4.2,    0.01298368, ,           4.9,    0.01291393, , 
          4.3,    0.01340169, ,             5,    0.01332915, , 
          4.4,    0.01382623, ,           5.1,    0.01375097, , 
          4.5,    0.01425727, ,           5.2,    0.01417931, , 
          4.6,    0.01469478, ,           5.3,    0.01461412, , 
          4.7,    0.01513876, ,           5.4,    0.01505536, , 
          4.8,    0.01558919, ,           5.5,    0.01550302, , 
          4.9,    0.01604608, ,           5.6,    0.01595714, , 
            5,    0.01650938, ,           5.7,    0.01641769, , 
          5.1,    0.01697911, ,           5.8,    0.01688466, , 
          5.2,    0.01745522, ,           5.9,    0.01735805, , 
          5.3,    0.01793776, ,             6,    0.01783785, , 
          5.4,    0.01842665, ,           6.1,    0.01832366, , 
          5.5,    0.01892197, ,           6.2,    0.01881486, , 
          5.6,    0.01942368, ,           6.3,    0.01931084, , 
          5.7,    0.01993174, ,           6.4,    0.01980951, , 
          5.8,    0.02044589, ,           6.5,    0.02031197, , 
          5.9,    0.02096457, ,           6.6,    0.02082008, , 
            6,    0.02148386, ,           6.7,    0.02133163, , 
          6.1,    0.02200825, ,           6.8,    0.02184841, , 
          6.2,     0.0225357, ,           6.9,    0.02236984, , 
          6.3,    0.02306643, ,             7,    0.02289751, , 
          6.4,    0.02360027, ,           7.1,    0.02343004, , 
          6.5,    0.02414057, ,           7.2,    0.02396529, , 
          6.6,    0.02468629, ,           7.3,     0.0245059, , 
          6.7,    0.02523555, ,           7.4,    0.02505297, , 
          6.8,    0.02578893, ,           7.5,    0.02560521, , 
          6.9,    0.02634861, ,           7.6,    0.02616225, , 
            7,    0.02691395, ,           7.7,    0.02672434, , 
          7.1,    0.02748273, ,           7.8,    0.02729144, , 
          7.2,    0.02805708, ,           7.9,    0.02786389, , 
          7.3,    0.02863861, ,             8,    0.02844272, , 
          7.4,    0.02922395, ,           8.1,     0.0290247, , 
          7.5,    0.02981587, ,           8.2,    0.02961338, , 
          7.6,    0.03041343, ,           8.3,    0.03020747, , 
          7.7,    0.03101699, ,           8.4,    0.03080687, , 
          7.8,    0.03162394, ,           8.5,    0.03141085, , 
          7.9,    0.03223165, ,           8.6,    0.03202213, , 
            8,    0.03284516, ,           8.7,    0.03264143, , 
          8.1,    0.03347265, ,           8.8,    0.03326144, , 
          8.2,    0.03410148, ,           8.9,    0.03388206, , 
          8.3,    0.03473456, ,             9,    0.03451365, , 
          8.4,    0.03536819, ,           9.1,    0.03514519, , 
          8.5,     0.0360148, ,           9.2,    0.03578989, , 
          8.6,    0.03666099, ,           9.3,    0.03643458, , 
          8.7,    0.03731813, ,           9.4,    0.03708704, , 
          8.8,    0.03797411, ,           9.5,    0.03773935, , 
          8.9,    0.03863689, ,           9.6,    0.03840336, , 
            9,    0.03931242, ,           9.7,    0.03906621, , 
          9.1,    0.03998382, ,           9.8,    0.03974125, , 
          9.2,    0.04066124, ,           9.9,     0.0404138, , 
          9.3,    0.04134538, ,            10,    0.04109969, , 
          9.4,    0.04203523, ,          10.1,    0.04178289, , 
          9.5,    0.04272824, ,          10.2,     0.0424793, , 
          9.6,    0.04342568, ,          10.3,    0.04317248, , 
          9.7,    0.04412888, ,          10.4,    0.04387162, , 
          9.8,    0.04483787, ,          10.5,    0.04457767, , 
          9.9,    0.04555229, ,          10.6,    0.04528827, , 
           10,    0.04626844, ,          10.7,    0.04600192, , 
         10.1,    0.04699132, ,          10.8,    0.04671821, , 
         10.2,    0.04771951, ,          10.9,     0.0474418, , 
         10.3,    0.04845066, ,            11,    0.04817095, , 
         10.4,    0.04918571, ,          11.1,    0.04890216, , 
         10.5,    0.04992623, ,          11.2,    0.04963892, , 
         10.6,     0.0506718, ,          11.3,    0.05037909, , 
         10.7,    0.05142161, ,          11.4,    0.05112408, , 
         10.8,    0.05217553, ,          11.5,    0.05187403, , 
         10.9,    0.05293346, ,          11.6,     0.0526274, , 
           11,    0.05369005, ,          11.7,    0.05338599, , 
         11.1,    0.05445974, ,          11.8,     0.0541477, , 
         11.2,    0.05523169, ,          11.9,    0.05491415, , 
         11.3,    0.05600798, ,            12,    0.05568351, , 
         11.4,    0.05678128, , , , , 
         11.5,    0.05756104, , , , , 
         11.6,    0.05834958, , , , , 
         11.7,    0.05913468, , , , , 
         11.8,    0.05992812, , , , , 
         11.9,    0.06072629, , , , , 
           12,    0.06153223, , , , , 

