 Alpha,T2-VLM1-1156.3kg-x0.5m, , 
0.9,0.002306887, , 
1,0.002467816, , 
1.1,0.002634177, , 
1.2,0.002805966, , 
1.3,0.002983179, , 
1.4,0.003165811, , 
1.5,0.003353858, , 
1.6,0.003547315, , 
1.7,0.003746177, , 
1.8,0.003950439, , 
1.9,0.004160096, , 
2,0.004375143, , 
2.1,0.004595573, , 
2.2,0.004821381, , 
2.3,0.005052562, , 
2.4,0.005289108, , 
2.5,0.005531014, , 
2.6,0.005778274, , 
2.7,0.006030881, , 
2.8,0.006288828, , 
2.9,0.006552108, , 
3,0.006820715, , 
3.1,0.007094641, , 
3.2,0.007373878, , 
3.3,0.00765842, , 
3.4,0.007948258, , 
3.5,0.008243384, , 
3.6,0.008543792, , 
3.7,0.008849471, , 
3.8,0.009160415, , 
3.9,0.009476614, , 
4,0.00979806, , 
4.1,0.01012474, , 
4.2,0.01045666, , 
4.3,0.01079379, , 
4.4,0.01113614, , 
4.5,0.01148368, , 
4.6,0.01183642, , 
4.7,0.01219434, , 
4.8,0.01255743, , 
4.9,0.01292568, , 
5,0.01329908, , 
5.1,0.01367763, , 
5.2,0.0140613, , 
5.3,0.0144501, , 
5.4,0.014844, , 
5.5,0.015243, , 
5.6,0.01564709, , 
5.7,0.01605625, , 
5.8,0.01647048, , 
5.9,0.01688976, , 
6,0.01731408, , 
6.1,0.01774342, , 
6.2,0.01817779, , 
6.3,0.01861715, , 
6.4,0.01906151, , 
6.5,0.01951085, , 
6.6,0.01996515, , 
6.7,0.02042441, , 
6.8,0.02088861, , 
6.9,0.02135773, , 
7,0.02183177, , 
7.1,0.02231071, , 
7.2,0.02279453, , 
7.3,0.02328322, , 
7.4,0.02377678, , 
7.5,0.02427518, , 
7.6,0.02477841, , 
7.7,0.02528645, , 
7.8,0.0257993, , 
7.9,0.02631693, , 
8,0.02683933, , 
8.1,0.0273665, , 
8.2,0.0278984, , 
8.3,0.02843503, , 
8.4,0.02897637, , 
8.5,0.0295224, , 
8.6,0.03007311, , 
8.7,0.03062849, , 
8.8,0.03118852, , 
8.9,0.03175317, , 
9,0.03232244, , 
9.1,0.03289631, , 
9.2,0.03347476, , 
9.3,0.03405778, , 
9.4,0.03464535, , 
9.5,0.03523744, , 
9.6,0.03583405, , 
9.7,0.03643516, , 
9.8,0.03704075, , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
