 CL,T1-13.4 m/s-VLM2, , 
-0.3391136,0.097747, , 
-0.3219091,0.09442962, , 
-0.3046917,0.09110051, , 
-0.2874618,0.08775981, , 
-0.27022,0.08440764, , 
-0.2529668,0.08104424, , 
-0.2357026,0.07766973, , 
-0.218428,0.07428436, , 
-0.2011435,0.07088816, , 
-0.1838497,0.06748124, , 
-0.166547,0.06406374, , 
-0.1492359,0.06063579, , 
-0.131917,0.05719742, , 
-0.1145908,0.05374858, , 
-0.09725773,0.05028972, , 
-0.07991843,0.0468211, , 
-0.06257336,0.04334296, , 
-0.04522305,0.03985547, , 
-0.02786802,0.0363588, , 
-0.01050879,0.03285323, , 
0.00685412,0.0293405, , 
0.02422019,0.02581919, , 
0.04158889,0.02228936, , 
0.05895971,0.0187512, , 
0.07633211,0.01520481, , 
0.09370558,0.01165077, , 
0.1110796,0.008092269, , 
0.1284536,0.004528055, , 
0.1458272,0.00095739, , 
0.1631997,-0.002619956, , 
0.1805706,-0.006203962, , 
0.1979395,-0.009794518, , 
0.2153057,-0.01339082, , 
0.2326689,-0.01699281, , 
0.2500284,-0.0206005, , 
0.2673837,-0.02421393, , 
0.2847344,-0.02783298, , 
0.3020798,-0.03145752, , 
0.3194194,-0.03508753, , 
0.3367529,-0.03872303, , 
0.3540795,-0.04236376, , 
0.3713988,-0.04600962, , 
0.3887103,-0.04966033, , 
0.4060134,-0.05331578, , 
0.4233077,-0.05697579, , 
0.4405925,-0.06064015, , 
0.4578675,-0.06430875, , 
0.475132,-0.06798139, , 
0.4923856,-0.07165754, , 
0.5096277,-0.07533702, , 
0.5268579,-0.07901976, , 
0.5440755,-0.08270606, , 
0.5612801,-0.08639656, , 
0.5784712,-0.09009038, , 
0.5956482,-0.09378721, , 
0.6128107,-0.09748682, , 
0.6299582,-0.1011889, , 
0.64709,-0.1048936, , 
0.6642058,-0.1086005, , 
0.6813049,-0.1123094, , 
0.698387,-0.11602, , 
0.7154515,-0.1197323, , 
0.7324978,-0.123446, , 
0.7495255,-0.127161, , 
0.7665341,-0.1308771, , 
0.7835231,-0.1345941, , 
0.800492,-0.1383118, , 
0.8174403,-0.14203, , 
0.8343674,-0.1457485, , 
0.8512729,-0.1494668, , 
0.8681564,-0.1531844, , 
0.8850172,-0.1569011, , 
0.9018549,-0.1606168, , 
0.9186691,-0.1643315, , 
0.9354592,-0.1680444, , 
0.9522248,-0.171755, , 
0.9689653,-0.1754633, , 
0.9856803,-0.1791693, , 
1.002369,-0.1828724, , 
1.019032,-0.1865724, , 
1.035667,-0.1902691, , 
1.052276,-0.1939624, , 
1.068856,-0.1976522, , 
1.085408,-0.2013383, , 
1.101931,-0.2050204, , 
1.118425,-0.2086991, , 
1.134889,-0.2123724, , 
1.151322,-0.2160398, , 
1.167726,-0.2196998, , 
1.184097,-0.2233466, , 
1.200438,-0.2269828, , 
1.216746,-0.2306107, , 
