 CL,T1-13.4 m/s-VLM2,,
-0.1985245,0.1419667,,
-0.1898869,0.1402863,,
-0.1812469,0.1386027,,
-0.1726048,0.1369161, , 
-0.1639606,0.1352264, , 
-0.1553143,0.1335336, , 
-0.1466661,0.1318377, , 
-0.1380159,0.1301389, , 
-0.1293638,0.1284371, , 
-0.12071,0.1267324, , 
-0.1120544,0.1250248, , 
-0.1033971,0.1233143, , 
-0.0947383,0.121601, , 
-0.08607791,0.1198849, , 
-0.07741606,0.118166, , 
-0.06875279,0.1164443, , 
-0.06008818,0.1147199, , 
-0.05142229,0.1129927, , 
-0.04275519,0.1112628, , 
-0.03408694,0.109531, , 
-0.02541761,0.1077967, , 
-0.01674726,0.1060598, , 
-0.008075957,0.1043202, , 
0.000596234,0.1025781, , 
0.009269249,0.1008333, , 
0.01794302,0.09908603, , 
0.02661749,0.09733622, , 
0.03529258,0.09558388, , 
0.04396823,0.09382904, , 
0.05264439,0.09207171, , 
0.06132097,0.09031198, , 
0.06999792,0.08855086, , 
0.07867517,0.08678816, , 
0.08735266,0.0850236, , 
0.09603032,0.08325698, , 
0.1047081,0.08148824, , 
0.1133859,0.07971733, , 
0.1220637,0.07794421, , 
0.1307414,0.07616895, , 
0.1394189,0.07439146, , 
0.1480962,0.07261184, , 
0.1567732,0.07083002, , 
0.1654499,0.06904605, , 
0.1741262,0.06726014, , 
0.1828019,0.06547233, , 
0.1914772,0.06368258, , 
0.2001518,0.06189089, , 
0.2088257,0.06009728, , 
0.2174989,0.0583017, , 
0.2261713,0.05650418, , 
0.2348428,0.05470471, , 
0.2435134,0.05290329, , 
0.2521829,0.0511, , 
0.2608514,0.04929482, , 
0.2695188,0.04748776, , 
0.2781849,0.04567883, , 
0.2868498,0.04386807, , 
0.2955134,0.04205547, , 
0.3041755,0.04024108, , 
0.3128362,0.03842491, , 
0.3214954,0.03660701, , 
0.330153,0.03478738, , 
0.3388089,0.03296606, , 
0.3474631,0.03114307, , 
0.3561155,0.02931843, , 
0.364766,0.02749215, , 
0.3734147,0.02566427, , 
0.3820613,0.02383479, , 
0.3907059,0.02200374, , 
0.3993484,0.02017115, , 
0.4079887,0.01833703, , 
0.4166268,0.01650139, , 
0.4252626,0.01466426, , 
0.433896,0.01282566, , 
0.4425269,0.01098561, , 
0.4511554,0.009144245, , 
0.4597812,0.007301574, , 
0.4684045,0.005457622, , 
0.477025,0.003612396, , 
0.4856428,0.001765901, , 
0.4942578,-8.19E-05, , 
0.5028699,-0.001930852, , 
0.511479,-0.003781041, , 
0.5200851,-0.005632462, , 
0.5286881,-0.007485047, , 
0.537288,-0.009338818, , 
0.5458847,-0.01119366, , 
0.5544781,-0.01304968, , 
0.5630681,-0.01490694, , 
0.5716547,-0.01676557, , 
0.5802379,-0.0186253, , 
0.5888176,-0.02048606, , 
0.5973936,-0.02234787, , 
0.605966,-0.02421087, , 
0.6145346,-0.02607489, , 
0.6230995,-0.02793989, , 
0.6316605,-0.0298058, , 
0.6402176,-0.03167261, , 
0.6487708,-0.03354034, , 
