 CL,T1-20.0 m/s-VLM2, , 
-0.166547,0.05263267, , 
-0.1578924,0.05149629, , 
-0.1492359,0.05035768, , 
-0.1405774,0.04921687, , 
-0.131917,0.04807387, , 
-0.1232548,0.04692871, , 
-0.1145908,0.04578142, , 
-0.1059251,0.044632, , 
-0.09725773,0.04348042, , 
-0.08858883,0.0423267, , 
-0.07991843,0.04117085, , 
-0.07124658,0.04001288, , 
-0.06257336,0.03885281, , 
-0.05389883,0.03769066, , 
-0.04522305,0.03652644, , 
-0.03654609,0.03536016, , 
-0.02786802,0.03419185, , 
-0.0191889,0.0330215, , 
-0.01050879,0.03184914, , 
-0.001827763,0.03067479, , 
0.00685412,0.02949847, , 
0.01553679,0.02832017, , 
0.02422019,0.02713992, , 
0.03290424,0.02595772, , 
0.04158889,0.02477359, , 
0.05027407,0.02358754, , 
0.05895971,0.02239959, , 
0.06764574,0.02120977, , 
0.07633211,0.02001807, , 
0.08501874,0.01882452, , 
0.09370558,0.01762909, , 
0.1023926,0.01643217, , 
0.1110796,0.01523392, , 
0.1197666,0.01403417, , 
0.1284536,0.01283283, , 
0.1371405,0.01162987, , 
0.1458272,0.01042526, , 
0.1545136,0.009218991, , 
0.1631997,0.008011049, , 
0.1718854,0.006801493, , 
0.1805706,0.005590283, , 
0.1892553,0.004377448, , 
0.1979395,0.003163092, , 
0.206623,0.001947548, , 
0.2153057,0.000730805, , 
0.2239877,-0.000487237, , 
0.2326689,-0.001706623, , 
0.2413491,-0.002927379, , 
0.2500284,-0.004149498, , 
0.2587066,-0.005372976, , 
0.2673837,-0.006597871, , 
0.2760597,-0.00782416, , 
0.2847344,-0.009051841, , 
0.2934078,-0.01028089, , 
0.3020798,-0.01151135, , 
0.3107504,-0.0127431, , 
0.3194194,-0.01397622, , 
0.328087,-0.01521071, , 
0.3367529,-0.01644648, , 
0.3454171,-0.01768358, , 
0.3540795,-0.01892201, , 
0.3627401,-0.0201618, , 
0.3713988,-0.02140292, , 
0.3800556,-0.02264533, , 
0.3887103,-0.02388903, , 
0.3973629,-0.02513402, , 
0.4060134,-0.02638027, , 
0.4146617,-0.02762775, , 
0.4233077,-0.02887641, , 
0.4319513,-0.0301263, , 
0.4405925,-0.0313774, , 
0.4492313,-0.03262969, , 
0.4578675,-0.03388315, , 
0.4665011,-0.03513777, , 
0.475132,-0.0363935, , 
0.4837602,-0.03765028, , 
0.4923856,-0.03890814, , 
0.5010081,-0.04016705, , 
0.5096277,-0.04142703, , 
0.5182443,-0.04268804, , 
0.5268579,-0.04395008, , 
0.5354683,-0.04521315, , 
0.5440755,-0.0464772, , 
0.5526795,-0.04774246, , 
0.5612801,-0.0490091, , 
0.5698774,-0.05027691, , 
0.5784712,-0.05154579, , 
0.5870615,-0.0528157, , 
0.5956482,-0.05408656, , 
0.6042313,-0.05535842, , 
0.6128107,-0.0566313, , 
0.6213864,-0.05790511, , 
0.6299582,-0.05917981, , 
0.6385261,-0.06045541, , 
0.64709,-0.06173186, , 
0.6556499,-0.06300917, , 
0.6642058,-0.06428741, , 
0.6727575,-0.06556645, , 
0.6813049,-0.06684628, , 
