 CL,T1-20.0 m/s-VLM2, , 
-0.1731819,0.07990862, , 
-0.1645306,0.07820613, , 
-0.1558773,0.076501, , 
-0.147222,0.07479323, , 
-0.1385648,0.07308288, , 
-0.1299057,0.07136996, , 
-0.1212448,0.06965453, , 
-0.1125821,0.0679366, , 
-0.1039178,0.06621613, , 
-0.09525178,0.06449314, , 
-0.08658426,0.06276766, , 
-0.07791525,0.0610397, , 
-0.06924482,0.05930929, , 
-0.06057302,0.05757645, , 
-0.05189994,0.0558412, , 
-0.04322563,0.05410357, , 
-0.03455016,0.05236356, , 
-0.02587358,0.0506212, , 
-0.01719598,0.04887651, , 
-0.008517408,0.04712953, , 
0.000162066,0.04538027, , 
0.008842377,0.04362875, , 
0.01752346,0.04187499, , 
0.02620525,0.040119, , 
0.03488768,0.03836082, , 
0.04357068,0.03660046, , 
0.0522542,0.03483794, , 
0.06093816,0.03307329, , 
0.06962251,0.03130653, , 
0.07830716,0.02953767, , 
0.08699207,0.02776673, , 
0.09567716,0.02599414, , 
0.1043624,0.02422006, , 
0.1130476,0.02244429, , 
0.1217329,0.02066674, , 
0.130418,0.01888737, , 
0.1391031,0.01710618, , 
0.1477879,0.01532315, , 
0.1564724,0.01353826, , 
0.1651566,0.01175158, , 
0.1738404,0.009963059, , 
0.1825238,0.008172756, , 
0.1912066,0.00638081, , 
0.1998887,0.004587552, , 
0.2085703,0.002792966, , 
0.2172511,0.000996947, , 
0.225931,-0.000800534, , 
0.2346102,-0.002599507, , 
0.2432884,-0.004399953, , 
0.2519656,-0.006201872, , 
0.2606417,-0.008005317, , 
0.2693167,-0.009810247, , 
0.2779906,-0.01161667, , 
0.2866631,-0.01342454, , 
0.2953344,-0.0152339, , 
0.3040043,-0.01704463, , 
0.3126727,-0.01885679, , 
0.3213396,-0.02067038, , 
0.3300049,-0.02248531, , 
0.3386685,-0.0243016, , 
0.3473305,-0.02611927, , 
0.3559907,-0.02793828, , 
0.364649,-0.02975856, , 
0.3733054,-0.03158011, , 
0.3819599,-0.03340294, , 
0.3906123,-0.03522704, , 
0.3992626,-0.03705237, , 
0.4079107,-0.03887891, , 
0.4165566,-0.04070672, , 
0.4252002,-0.0425358, , 
0.4338414,-0.04436606, , 
0.4424802,-0.04619748, , 
0.4511166,-0.04803003, , 
0.4597503,-0.04986367, , 
0.4683814,-0.05169838, , 
0.4770099,-0.05353408, , 
0.4856356,-0.05537077, , 
0.4942584,-0.05720846, , 
0.5028784,-0.05904711, , 
0.5114955,-0.06088671, , 
0.5201095,-0.06272723, , 
0.5287204,-0.06456868, , 
0.5373282,-0.06641101, , 
0.5459329,-0.06825421, , 
0.5545342,-0.07009827, , 
0.5631322,-0.07194313, , 
0.5717268,-0.07378872, , 
0.5803179,-0.07563503, , 
0.5889056,-0.07748206, , 
0.5974896,-0.0793298, , 
0.6060699,-0.08117865, , 
0.6146466,-0.08302856, , 
0.6232195,-0.08487932, , 
0.6317885,-0.08673099, , 
0.6403536,-0.08858338, , 
0.6489148,-0.09043644, , 
0.6574719,-0.09229022, , 
0.6660249,-0.09414465, , 
0.6745737,-0.09599966, , 
