 Alpha,T1-20.0 m/s-VLM2, , 
-8,0.05263267, , 
-7.9,0.05149629, , 
-7.8,0.05035768, , 
-7.7,0.04921687, , 
-7.6,0.04807387, , 
-7.5,0.04692871, , 
-7.4,0.04578142, , 
-7.3,0.044632, , 
-7.2,0.04348042, , 
-7.1,0.0423267, , 
-7,0.04117085, , 
-6.9,0.04001288, , 
-6.8,0.03885281, , 
-6.7,0.03769066, , 
-6.6,0.03652644, , 
-6.5,0.03536016, , 
-6.4,0.03419185, , 
-6.3,0.0330215, , 
-6.2,0.03184914, , 
-6.1,0.03067479, , 
-6,0.02949847, , 
-5.9,0.02832017, , 
-5.8,0.02713992, , 
-5.7,0.02595772, , 
-5.6,0.02477359, , 
-5.5,0.02358754, , 
-5.4,0.02239959, , 
-5.3,0.02120977, , 
-5.2,0.02001807, , 
-5.1,0.01882452, , 
-5,0.01762909, , 
-4.9,0.01643217, , 
-4.8,0.01523392, , 
-4.7,0.01403417, , 
-4.6,0.01283283, , 
-4.5,0.01162987, , 
-4.4,0.01042526, , 
-4.3,0.009218991, , 
-4.2,0.008011049, , 
-4.1,0.006801493, , 
-4,0.005590283, , 
-3.9,0.004377448, , 
-3.8,0.003163092, , 
-3.7,0.001947548, , 
-3.6,0.000730805, , 
-3.5,-0.000487237, , 
-3.4,-0.001706623, , 
-3.3,-0.002927379, , 
-3.2,-0.004149498, , 
-3.1,-0.005372976, , 
-3,-0.006597871, , 
-2.9,-0.00782416, , 
-2.8,-0.009051841, , 
-2.7,-0.01028089, , 
-2.6,-0.01151135, , 
-2.5,-0.0127431, , 
-2.4,-0.01397622, , 
-2.3,-0.01521071, , 
-2.2,-0.01644648, , 
-2.1,-0.01768358, , 
-2,-0.01892201, , 
-1.9,-0.0201618, , 
-1.8,-0.02140292, , 
-1.7,-0.02264533, , 
-1.6,-0.02388903, , 
-1.5,-0.02513402, , 
-1.4,-0.02638027, , 
-1.3,-0.02762775, , 
-1.2,-0.02887641, , 
-1.1,-0.0301263, , 
-1,-0.0313774, , 
-0.9,-0.03262969, , 
-0.8,-0.03388315, , 
-0.7,-0.03513777, , 
-0.6,-0.0363935, , 
-0.5,-0.03765028, , 
-0.4,-0.03890814, , 
-0.3,-0.04016705, , 
-0.2,-0.04142703, , 
-0.1,-0.04268804, , 
0,-0.04395008, , 
0.1,-0.04521315, , 
0.2,-0.0464772, , 
0.3,-0.04774246, , 
0.4,-0.0490091, , 
0.5,-0.05027691, , 
0.6,-0.05154579, , 
0.7,-0.0528157, , 
0.8,-0.05408656, , 
0.9,-0.05535842, , 
1,-0.0566313, , 
1.1,-0.05790511, , 
1.2,-0.05917981, , 
1.3,-0.06045541, , 
1.4,-0.06173186, , 
1.5,-0.06300917, , 
1.6,-0.06428741, , 
1.7,-0.06556645, , 
1.8,-0.06684628, , 
