 Alpha,T1-20.0 m/s-VLM2, , 
-8,0.07990862, , 
-7.9,0.07820613, , 
-7.8,0.076501, , 
-7.7,0.07479323, , 
-7.6,0.07308288, , 
-7.5,0.07136996, , 
-7.4,0.06965453, , 
-7.3,0.0679366, , 
-7.2,0.06621613, , 
-7.1,0.06449314, , 
-7,0.06276766, , 
-6.9,0.0610397, , 
-6.8,0.05930929, , 
-6.7,0.05757645, , 
-6.6,0.0558412, , 
-6.5,0.05410357, , 
-6.4,0.05236356, , 
-6.3,0.0506212, , 
-6.2,0.04887651, , 
-6.1,0.04712953, , 
-6,0.04538027, , 
-5.9,0.04362875, , 
-5.8,0.04187499, , 
-5.7,0.040119, , 
-5.6,0.03836082, , 
-5.5,0.03660046, , 
-5.4,0.03483794, , 
-5.3,0.03307329, , 
-5.2,0.03130653, , 
-5.1,0.02953767, , 
-5,0.02776673, , 
-4.9,0.02599414, , 
-4.8,0.02422006, , 
-4.7,0.02244429, , 
-4.6,0.02066674, , 
-4.5,0.01888737, , 
-4.4,0.01710618, , 
-4.3,0.01532315, , 
-4.2,0.01353826, , 
-4.1,0.01175158, , 
-4,0.009963059, , 
-3.9,0.008172756, , 
-3.8,0.00638081, , 
-3.7,0.004587552, , 
-3.6,0.002792966, , 
-3.5,0.000996947, , 
-3.4,-0.000800534, , 
-3.3,-0.002599507, , 
-3.2,-0.004399953, , 
-3.1,-0.006201872, , 
-3,-0.008005317, , 
-2.9,-0.009810247, , 
-2.8,-0.01161667, , 
-2.7,-0.01342454, , 
-2.6,-0.0152339, , 
-2.5,-0.01704463, , 
-2.4,-0.01885679, , 
-2.3,-0.02067038, , 
-2.2,-0.02248531, , 
-2.1,-0.0243016, , 
-2,-0.02611927, , 
-1.9,-0.02793828, , 
-1.8,-0.02975856, , 
-1.7,-0.03158011, , 
-1.6,-0.03340294, , 
-1.5,-0.03522704, , 
-1.4,-0.03705237, , 
-1.3,-0.03887891, , 
-1.2,-0.04070672, , 
-1.1,-0.0425358, , 
-1,-0.04436606, , 
-0.9,-0.04619748, , 
-0.8,-0.04803003, , 
-0.7,-0.04986367, , 
-0.6,-0.05169838, , 
-0.5,-0.05353408, , 
-0.4,-0.05537077, , 
-0.3,-0.05720846, , 
-0.2,-0.05904711, , 
-0.1,-0.06088671, , 
0,-0.06272723, , 
0.1,-0.06456868, , 
0.2,-0.06641101, , 
0.3,-0.06825421, , 
0.4,-0.07009827, , 
0.5,-0.07194313, , 
0.6,-0.07378872, , 
0.7,-0.07563503, , 
0.8,-0.07748206, , 
0.9,-0.0793298, , 
1,-0.08117865, , 
1.1,-0.08302856, , 
1.2,-0.08487932, , 
1.3,-0.08673099, , 
1.4,-0.08858338, , 
1.5,-0.09043644, , 
1.6,-0.09229022, , 
1.7,-0.09414465, , 
1.8,-0.09599966, , 
