xflr5 v6.47

 Calculated polar for: NACA 2418

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     5.800 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -8.000,-0.6669, 0.00786, 0.00305,-0.0505,0.7576,0.0588,-2.9478, 0.0000, 0.1589
 -7.500,-0.6106, 0.00767, 0.00282,-0.0505,0.7359,0.0637,-2.7057, 0.0000, 0.1521
 -7.000,-0.5551, 0.00743, 0.00257,-0.0504,0.7102,0.0710,-2.4959, 0.0000, 0.1442
 -6.500,-0.4987, 0.00727, 0.00237,-0.0503,0.6834,0.0782,-2.2896, 0.0000, 0.1340
 -6.000,-0.4425, 0.00708, 0.00217,-0.0503,0.6613,0.0861,-2.0895, 0.0000, 0.1211
 -5.500,-0.3855, 0.00694, 0.00201,-0.0504,0.6381,0.0952,-1.8939, 0.0000, 0.1038
 -5.000,-0.3284, 0.00679, 0.00185,-0.0505,0.6161,0.1028,-1.7190, 0.0000, 0.0802
 -4.500,-0.2719, 0.00664, 0.00170,-0.0505,0.5909,0.1186,-1.5561, 0.0000, 0.0474
 -4.000,-0.2149, 0.00654, 0.00158,-0.0505,0.5654,0.1324,-1.3971, 0.0000,-0.0036
 -3.500,-0.1577, 0.00646, 0.00148,-0.0507,0.5434,0.1468,-1.2541, 0.0000,-0.0924
 -3.000,-0.1001, 0.00633, 0.00139,-0.0509,0.5264,0.1644,-1.1196, 0.0000,-0.2858
 -2.500,-0.0425, 0.00627, 0.00132,-0.0510,0.5050,0.1794,-0.9950, 0.0000,-1.0006
 -2.000, 0.0146, 0.00620, 0.00127,-0.0511,0.4850,0.2030,-0.8818, 0.0000, 3.8705
 -1.500, 0.0728, 0.00611, 0.00122,-0.0514,0.4718,0.2221,-0.7774, 0.0000, 0.9712
 -1.000, 0.1300, 0.00607, 0.00119,-0.0515,0.4504,0.2488,-0.6937, 0.0000, 0.6504
 -0.500, 0.1882, 0.00599, 0.00117,-0.0518,0.4419,0.2754,-0.7434, 0.0000, 0.5252
  0.000, 0.2455, 0.00598, 0.00118,-0.0520,0.4223,0.3019,-0.7943, 0.0000, 0.4592
  0.500, 0.3036, 0.00589, 0.00118,-0.0523,0.4145,0.3346,-0.8486, 0.0000, 0.4182
  1.000, 0.3607, 0.00591, 0.00121,-0.0524,0.3946,0.3653,-0.9059, 0.0000, 0.3902
  1.500, 0.4182, 0.00590, 0.00126,-0.0526,0.3825,0.4006,-0.9668, 0.0000, 0.3699
  2.000, 0.4747, 0.00588, 0.00131,-0.0527,0.3649,0.4502,-1.0306, 0.0000, 0.3543
  2.500, 0.5304, 0.00592, 0.00141,-0.0526,0.3428,0.5025,-1.0994, 0.0000, 0.3418
  3.000, 0.5870, 0.00598, 0.00151,-0.0527,0.3284,0.5414,-1.1744, 0.0000, 0.3318
  3.500, 0.6431, 0.00605, 0.00162,-0.0527,0.3096,0.5850,-1.2554, 0.0000, 0.3234
  4.000, 0.6983, 0.00620, 0.00178,-0.0525,0.2880,0.6231,-1.3433, 0.0000, 0.3162
  4.500, 0.7529, 0.00638, 0.00196,-0.0522,0.2655,0.6654,-1.4396, 0.0000, 0.3098
  5.000, 0.8071, 0.00658, 0.00216,-0.0519,0.2457,0.7073,-1.5455, 0.0000, 0.3042
  5.500, 0.8606, 0.00682, 0.00240,-0.0515,0.2243,0.7479,-1.6615, 0.0000, 0.2991
  6.000, 0.9143, 0.00701, 0.00263,-0.0511,0.2084,0.7932,-1.7876, 0.0000, 0.2946
  6.500, 0.9660, 0.00731, 0.00292,-0.0503,0.1868,0.8365,-1.9271, 0.0000, 0.2903
  7.000, 1.0183, 0.00757, 0.00320,-0.0496,0.1712,0.8759,-2.0756, 0.0000, 0.2863
  7.500, 1.0673, 0.00793, 0.00356,-0.0483,0.1512,0.9176,-2.2333, 0.0000, 0.2823
  8.000, 1.1149, 0.00830, 0.00392,-0.0467,0.1357,0.9528,-2.3928, 0.0000, 0.2782
  8.500, 1.1599, 0.00875, 0.00432,-0.0446,0.1199,0.9765,-2.5697, 0.0000, 0.2741
 10.000, 1.3207, 0.01033, 0.00567,-0.0447,0.0856,0.9993,-3.1921, 0.0000, 0.2674
 10.500, 1.3519, 0.01087, 0.00615,-0.0402,0.0777,1.0000,-3.3798, 0.0000, 0.2625
 11.000, 1.3914, 0.01138, 0.00664,-0.0374,0.0711,1.0000,-3.5894, 0.0000, 0.2589
 11.500, 1.4269, 0.01215, 0.00735,-0.0343,0.0622,1.0000,-3.7936, 0.0000, 0.2552
 12.000, 1.4675, 0.01277, 0.00796,-0.0321,0.0583,1.0000,-4.0141, 0.0000, 0.2522


