X,NACA 2418-Re=   3e+06-Alpha=-8.00-NCrit=  9.0-XTrTop=0.822-XtrBot=0.070, , X,D*, , X,Theta, , 
, , ,    0.01214942,  8.302805e-05, ,    0.01214942,  3.724053e-05, , 
, , ,   0.006883198,  6.664168e-05, ,   0.006883198,  3.017889e-05, , 
, , ,   0.003080868,  6.273641e-05, ,   0.003080868,  2.812416e-05, , 
, , ,  0.0007755917,  5.760105e-05, ,  0.0007755917,  2.617121e-05, , 
, , ,             0,  5.794017e-05, ,             0,  2.583624e-05, , 
, , ,  0.0007755917,  5.877588e-05, ,  0.0007755917,  2.629646e-05, , 
, , ,   0.003080868,  6.683732e-05, ,   0.003080868,  2.886025e-05, , 
, , ,   0.006883198,  7.977709e-05, ,   0.006883198,  3.347332e-05, , 
, , ,    0.01214942,  0.0001002647, ,    0.01214942,  4.015825e-05, , 
, , ,    0.01884581,  0.0001275337, ,    0.01884581,  4.861268e-05, , 
, , ,    0.02693808,  0.0001632982, ,    0.02693808,  5.862252e-05, , 
, , ,    0.03639132,  0.0002096224, ,    0.03639132,  6.992138e-05, , 
, , ,    0.04717001,  0.0002705091, ,    0.04717001,  8.207967e-05, , 
, , ,    0.05923792,  0.0003438379, ,    0.05923792,  9.419564e-05, , 
, , ,    0.07255816,  0.0003388725, ,    0.07255816,  0.0001118096, , 
, , ,    0.08709309,  0.0002438886, ,    0.08709309,  0.0001417408, , 
, , ,     0.1028043,  0.0002683737, ,     0.1028043,  0.0001827376, , 
, , ,     0.1196525,  0.0003352401, ,     0.1196525,  0.0002330015, , 
, , ,     0.1375977,  0.0004161186, ,     0.1375977,  0.0002878797, , 
, , ,     0.1565988,  0.0005031729, ,     0.1565988,   0.000346619, , 
, , ,     0.1766138,  0.0005953587, ,     0.1766138,  0.0004093483, , 
, , ,     0.1975998,  0.0006928717, ,     0.1975998,  0.0004762481, , 
, , ,     0.2195125,  0.0007960635, ,     0.2195125,   0.000547434, , 
, , ,     0.2423068,  0.0009051788, ,     0.2423068,  0.0006229442, , 
, , ,     0.2659361,   0.001020288, ,     0.2659361,  0.0007027358, , 
, , ,     0.2903524,   0.001141252, ,     0.2903524,  0.0007866678, , 
, , ,     0.3155065,   0.001267664, ,     0.3155065,  0.0008744677, , 
, , ,     0.3413476,   0.001398644, ,     0.3413476,  0.0009656176, , 
, , ,     0.3678229,   0.001532917, ,     0.3678229,   0.001059385, , 
, , ,     0.3948782,   0.001664192, ,     0.3948782,   0.001152448, , 
, , ,     0.4224571,   0.001793997, ,     0.4224571,   0.001245379, , 
, , ,     0.4505011,   0.001944719, ,     0.4505011,   0.001349567, , 
, , ,     0.4789491,   0.002106194, ,     0.4789491,   0.001459958, , 
, , ,     0.5077378,   0.002278092, ,     0.5077378,   0.001576381, , 
, , ,     0.5368005,   0.002459829, ,     0.5368005,   0.001698508, , 
, , ,     0.5660677,   0.002651475, ,     0.5660677,   0.001826316, , 
, , ,     0.5954661,   0.002853444, ,     0.5954661,    0.00195993, , 
, , ,     0.6249182,   0.003066564, ,     0.6249182,   0.002099659, , 
, , ,     0.6543419,    0.00329217, ,     0.6543419,   0.002246029, , 
, , ,       0.68365,   0.003532269, ,       0.68365,   0.002399855, , 
, , ,     0.7127487,   0.003789775, ,     0.7127487,   0.002562331, , 
, , ,     0.7415373,   0.004068846, ,     0.7415373,    0.00273515, , 
, , ,     0.7699063,   0.004375357, ,     0.7699063,   0.002920671, , 
, , ,     0.7977362,   0.004717561, ,     0.7977362,   0.003122104, , 
, , ,     0.8248944,   0.005106992, ,     0.8248944,   0.003343741, , 
, , ,     0.8512328,   0.005559697, ,     0.8512328,   0.003591166, , 
, , ,      0.876583,   0.006097673, ,      0.876583,   0.003871304, , 
, , ,     0.9007495,    0.00674943, ,     0.9007495,   0.004191716, , 
, , ,     0.9234998,   0.007548429, ,     0.9234998,   0.004558606, , 
, , ,     0.9445469,   0.008525619, ,     0.9445469,   0.004972522, , 
, , ,     0.9635184,   0.009691006, ,     0.9635184,   0.005421594, , 
, , ,     0.9798895,    0.01099375, ,     0.9798895,    0.00587264, , 
, , ,     0.9928006,    0.01228471, ,     0.9928006,   0.006271379, , 
, , ,             1,    0.01298941, ,             1,   0.006475426, , 
, , ,        1.0001,    0.01837697, ,        1.0001,     0.0075681, , 
, , ,      1.007454,    0.01711917, ,      1.007454,   0.008098683, , 
, , ,      1.017363,     0.0152152, ,      1.017363,   0.007807798, , 
, , ,      1.030709,    0.01324618, ,      1.030709,   0.007359333, , 
, , ,      1.048684,    0.01139186, ,      1.048684,   0.006851627, , 
, , ,      1.072895,   0.009788945, ,      1.072895,   0.006346646, , 
, , ,      1.105502,   0.008491213, ,      1.105502,   0.005898069, , 
, , ,      1.149418,   0.007473588, ,      1.149418,   0.005528537, , 
, , ,       1.20856,   0.006680575, ,       1.20856,   0.005235215, , 
, , ,      1.288203,   0.006062645, ,      1.288203,   0.005005878, , 
, , ,      1.395448,   0.005585281, ,      1.395448,    0.00482823, , 
, , ,      1.539851,   0.005224823, ,      1.539851,   0.004692292, , 
, , ,      1.734274,   0.004961649, ,      1.734274,   0.004590195, , 

