xflr5 v6.47
NACA 2418
T1_Re2.900_M0.00_N9.0
Alpha =,  -8.0,  Re =,  2900000,  Ma =, 0.0000,  ACrit =,  9.0 

x,Cpi,Cpv,Qi,Qv
 1.0000,  0.537,  0.280,  0.680,  0.849
 0.9928,  0.359,  0.252,  0.801,  0.865
 0.9799,  0.278,  0.197,  0.850,  0.896
 0.9635,  0.215,  0.151,  0.886,  0.921
 0.9445,  0.166,  0.112,  0.913,  0.942
 0.9235,  0.125,  0.079,  0.935,  0.960
 0.9007,  0.090,  0.051,  0.954,  0.974
 0.8766,  0.059,  0.027,  0.970,  0.986
 0.8512,  0.032,  0.004,  0.984,  0.998
 0.8249,  0.008, -0.048,  0.996,  1.024
 0.7977, -0.013, -0.064,  1.007,  1.032
 0.7699, -0.033, -0.076,  1.016,  1.038
 0.7415, -0.050, -0.090,  1.025,  1.044
 0.7127, -0.067, -0.104,  1.033,  1.051
 0.6836, -0.081, -0.117,  1.040,  1.057
 0.6543, -0.095, -0.130,  1.046,  1.063
 0.6249, -0.107, -0.141,  1.052,  1.068
 0.5955, -0.118, -0.152,  1.057,  1.073
 0.5661, -0.127, -0.161,  1.062,  1.078
 0.5368, -0.136, -0.170,  1.066,  1.081
 0.5077, -0.143, -0.177,  1.069,  1.085
 0.4789, -0.149, -0.183,  1.072,  1.088
 0.4505, -0.153, -0.188,  1.074,  1.090
 0.4225, -0.156, -0.191,  1.075,  1.091
 0.3949, -0.161, -0.196,  1.078,  1.094
 0.3678, -0.160, -0.196,  1.077,  1.094
 0.3413, -0.152, -0.188,  1.073,  1.090
 0.3155, -0.139, -0.176,  1.067,  1.084
 0.2904, -0.120, -0.157,  1.058,  1.076
 0.2659, -0.095, -0.133,  1.046,  1.064
 0.2423, -0.064, -0.103,  1.032,  1.050
 0.2195, -0.027, -0.066,  1.013,  1.033
 0.1976,  0.017, -0.023,  0.991,  1.011
 0.1766,  0.068,  0.027,  0.965,  0.986
 0.1566,  0.126,  0.085,  0.935,  0.957
 0.1376,  0.192,  0.150,  0.899,  0.922
 0.1197,  0.265,  0.224,  0.857,  0.881
 0.1028,  0.347,  0.305,  0.808,  0.834
 0.0871,  0.436,  0.395,  0.751,  0.778
 0.0726,  0.533,  0.493,  0.684,  0.712
 0.0592,  0.635,  0.597,  0.604,  0.635
 0.0472,  0.741,  0.706,  0.509,  0.542
 0.0364,  0.845,  0.815,  0.394,  0.430
 0.0269,  0.935,  0.913,  0.255,  0.295
 0.0188,  0.993,  0.984,  0.084,  0.128
 0.0121,  0.984,  0.994, -0.126, -0.077
 0.0069,  0.855,  0.893, -0.381, -0.327
 0.0031,  0.536,  0.613, -0.681, -0.622
 0.0008, -0.026,  0.099, -1.013, -0.949
 0.0000, -0.813, -0.638, -1.346, -1.280
 0.0008, -1.731, -1.509, -1.653, -1.584
 0.0031, -2.515, -2.270, -1.875, -1.808
 0.0069, -2.985, -2.738, -1.996, -1.933
 0.0121, -3.147, -2.917, -2.036, -1.979
 0.0188, -3.102, -2.896, -2.025, -1.974
 0.0269, -2.949, -2.768, -1.987, -1.941
 0.0364, -2.752, -2.596, -1.937, -1.896
 0.0472, -2.546, -2.420, -1.883, -1.849
 0.0592, -2.347, -2.265, -1.829, -1.807
 0.0726, -2.161, -2.076, -1.778, -1.754
 0.0871, -1.990, -1.855, -1.729, -1.690
 0.1028, -1.833, -1.719, -1.683, -1.649
 0.1197, -1.691, -1.595, -1.640, -1.611
 0.1376, -1.560, -1.477, -1.600, -1.574
 0.1566, -1.440, -1.366, -1.562, -1.538
 0.1766, -1.330, -1.262, -1.526, -1.504
 0.1976, -1.228, -1.166, -1.493, -1.472
 0.2195, -1.134, -1.077, -1.461, -1.441
 0.2423, -1.047, -0.993, -1.431, -1.412
 0.2659, -0.966, -0.916, -1.402, -1.384
 0.2904, -0.891, -0.844, -1.375, -1.358
 0.3155, -0.821, -0.777, -1.350, -1.333
 0.3413, -0.757, -0.716, -1.326, -1.310
 0.3678, -0.699, -0.659, -1.303, -1.288
 0.3949, -0.648, -0.610, -1.284, -1.269
 0.4225, -0.605, -0.566, -1.267, -1.252
 0.4505, -0.556, -0.519, -1.247, -1.233
 0.4789, -0.509, -0.473, -1.228, -1.214
 0.5077, -0.463, -0.428, -1.209, -1.195
 0.5368, -0.419, -0.385, -1.191, -1.177
 0.5661, -0.376, -0.343, -1.173, -1.159
 0.5955, -0.335, -0.303, -1.156, -1.142
 0.6249, -0.296, -0.265, -1.138, -1.125
 0.6543, -0.258, -0.227, -1.122, -1.108
 0.6836, -0.222, -0.190, -1.105, -1.091
 0.7127, -0.186, -0.155, -1.089, -1.075
 0.7415, -0.151, -0.120, -1.073, -1.058
 0.7699, -0.117, -0.085, -1.057, -1.041
 0.7977, -0.083, -0.049, -1.040, -1.024
 0.8249, -0.048, -0.014, -1.024, -1.007
 0.8512, -0.013,  0.022, -1.006, -0.989
 0.8766,  0.024,  0.060, -0.988, -0.970
 0.9007,  0.063,  0.098, -0.968, -0.950
 0.9235,  0.105,  0.137, -0.946, -0.929
 0.9445,  0.152,  0.175, -0.921, -0.908
 0.9635,  0.206,  0.212, -0.891, -0.888
 0.9799,  0.272,  0.243, -0.853, -0.870
 0.9928,  0.355,  0.268, -0.803, -0.856
 1.0000,  0.537,  0.280, -0.680, -0.849


