X,NACA 2418-Re=   3e+06-Alpha=-8.00-NCrit=  9.0-XTrTop=0.822-XtrBot=0.070, , X,D*, , X,Theta, , 
, , ,0.01884581,8.30E-05, ,0.01884581,3.72E-05, , 
, , ,0.02693808,0.000102757, ,0.02693808,4.51E-05, , 
, , ,0.03639132,0.000111488, ,0.03639132,4.99E-05, , 
, , ,0.04717001,0.000128379, ,0.04717001,5.59E-05, , 
, , ,0.05923792,0.000139956, ,0.05923792,6.16E-05, , 
, , ,0.07255816,0.000156601, ,0.07255816,6.79E-05, , 
, , ,0.08709309,0.000170635, ,0.08709309,7.41E-05, , 
, , ,0.1028043,0.000186868, ,0.1028043,8.06E-05, , 
, , ,0.1196525,0.000202727, ,0.1196525,8.71E-05, , 
, , ,0.1375977,0.000219437, ,0.1375977,9.39E-05, , 
, , ,0.1565988,0.000236624, ,0.1565988,0.000100751, , 
, , ,0.1766138,0.000254499, ,0.1766138,0.000107844, , 
, , ,0.1975998,0.000273128, ,0.1975998,0.000115154, , 
, , ,0.2195125,0.000292623, ,0.2195125,0.000122707, , 
, , ,0.2423068,0.000313113, ,0.2423068,0.00013053, , 
, , ,0.2659361,0.000334751, ,0.2659361,0.000138655, , 
, , ,0.2903524,0.000357735, ,0.2903524,0.00014712, , 
, , ,0.3155065,0.000382329, ,0.3155065,0.000155974, , 
, , ,0.3413476,0.000408993, ,0.3413476,0.000165295, , 
, , ,0.3678229,0.000438285, ,0.3678229,0.000175173, , 
, , ,0.3948782,0.000474059, ,0.3948782,0.000186188, , 
, , ,0.4224571,0.000514606, ,0.4224571,0.000198108, , 
, , ,0.4505011,0.000544214, ,0.4505011,0.000208794, , 
, , ,0.4789491,0.000575285, ,0.4789491,0.000219539, , 
, , ,0.5077378,0.000608072, ,0.5077378,0.00023041, , 
, , ,0.5368005,0.000643046, ,0.5368005,0.000241483, , 
, , ,0.5660677,0.000680431, ,0.5660677,0.000252789, , 
, , ,0.5954661,0.000720633, ,0.5954661,0.000264358, , 
, , ,0.6249182,0.000764299, ,0.6249182,0.000276228, , 
, , ,0.6543419,0.000812401, ,0.6543419,0.00028844, , 
, , ,0.68365,0.000866317, ,0.68365,0.000301035, , 
, , ,0.7127487,0.000927794, ,0.7127487,0.00031402, , 
, , ,0.7415373,0.000998244, ,0.7415373,0.000327291, , 
, , ,0.7699063,0.001075526, ,0.7699063,0.000340473, , 
, , ,0.7977362,0.001142232, ,0.7977362,0.000352643, , 
, , ,0.8248944,0.001112848, ,0.8248944,0.000368973, , 
, , ,0.8512328,0.000799115, ,0.8512328,0.000424852, , 
, , ,0.876583,0.000739552, ,0.876583,0.000475082, , 
, , ,0.9007495,0.000781562, ,0.9007495,0.000536554, , 
, , ,0.9234998,0.000867386, ,0.9234998,0.000606251, , 
, , ,0.9445469,0.000978383, ,0.9445469,0.000683707, , 
, , ,0.9635184,0.00111584, ,0.9635184,0.000772152, , 
, , ,0.9798895,0.001290859, ,0.9798895,0.000876821, , 
, , ,0.9928006,0.001545194, ,0.9928006,0.001013906, , 
, , ,1,0.00169544, ,1,0.001092674, , 
, , ,1.0001,0.01837697, ,1.0001,0.0075681, , 
, , ,1.007454,0.01711917, ,1.007454,0.008098683, , 
, , ,1.017363,0.0152152, ,1.017363,0.007807798, , 
, , ,1.030709,0.01324618, ,1.030709,0.007359333, , 
, , ,1.048684,0.01139186, ,1.048684,0.006851627, , 
, , ,1.072895,0.009788945, ,1.072895,0.006346646, , 
, , ,1.105502,0.008491213, ,1.105502,0.005898069, , 
, , ,1.149418,0.007473588, ,1.149418,0.005528537, , 
, , ,1.20856,0.006680575, ,1.20856,0.005235215, , 
, , ,1.288203,0.006062645, ,1.288203,0.005005878, , 
, , ,1.395448,0.005585281, ,1.395448,0.00482823, , 
, , ,1.539851,0.005224823, ,1.539851,0.004692292, , 
, , ,1.734274,0.004961649, ,1.734274,0.004590195, , 
